Nome OMS,Nome Chinês,Localização,Nível Energético,Meridiano Regular,Canal Maravilhoso,Função CM,Particularidade
LU1,Zhong Fu,"Na região torácica lateral, no 1º espaço intercostal, 6 cun lateral à linha média, 1 cun abaixo de P2",Tai Yin,Pulmão,Não,N/A,Ponto Mu do Pulmão
LU2,Yun Men,"Na região torácica lateral, no 2º espaço intercostal, 6 cun lateral à linha média",Tai Yin,Pulmão,Não,N/A,Ponto de dispersão
LU3,Tian Fu,"Na região anterior do braço, 3 cun abaixo da axila, na borda lateral do músculo bíceps braquial",Tai Yin,Pulmão,Não,N/A,Acalma a mente
LU4,Xia Bai,"Na região anterior do braço, 4 cun abaixo de P3, no sulco lateral do músculo bíceps braquial",Tai Yin,Pulmão,Não,N/A,Beneficia o Qi do pulmão
LU5,Chi Ze,"Na fossa cubital, no lado radial do tendão do músculo bíceps braquial",Tai Yin,Pulmão,Não,N/A,Ponto água e ponto sedação
LU6,Kong Zui,"Na região anterior do antebraço, 7 cun acima do punho, entre os músculos palmar longo e flexor radial do carpo",Tai Yin,Pulmão,Não,N/A,Ponto fogo e ponto tonificação
LU7,Lie Que,"Na região lateral do punho, 1,5 cun acima do processo estilóide do rádio, na depressão entre os tendões,Tai Yin",Pulmão,Ren Mai,Abre,Ponto Luo, conecta com o Ren Mai
LU8,Jing Qu,"Na região palmar do punho, 1 cun acima da dobra palmar do punho, entre os tendões dos músculos",Tai Yin,Pulmão,Não,N/A,Ponto rio
LU9,Tai Yuan,"Na região palmar do punho, na dobra palmar do punho, no lado radial da artéria radial",Tai Yin,Pulmão,Não,N/A,Ponto fonte e ponto terra
LU10,Yu Ji,"Na região tenar da mão, no meio da primeira articulação metacarpofalangeana",Tai Yin,Pulmão,Não,N/A,Ponto riacho
LU11,Shao Shang,"No lado radial da falange distal do polegar, 0,1 cun proximal ao ângulo ungueal",Tai Yin,Pulmão,Não,N/A,Ponto poço e ponto madeira
LI1,Shang Yang,"No lado radial da falange distal do indicador, 0,1 cun proximal ao ângulo ungueal",Yang Ming,Intestino Grosso,Não,N/A,Ponto poço e ponto metal
LI2,Er Jian,"No lado radial da falange proximal do indicador, distal à articulação metacarpofalangeana",Yang Ming,Intestino Grosso,Não,N/A,Ponto riacho
LI3,San Jian,"No lado radial do segundo metacarpo, proximal à cabeça do metacarpo",Yang Ming,Intestino Grosso,Não,N/A,Ponto rio
LI4,He Gu,"Entre o primeiro e o segundo osso metacarpiano, no ponto médio do segundo metacarpiano",Yang Ming,Intestino Grosso,Não,N/A,Ponto fonte e ponto terra
LI5,Yang Xi,"No lado radial do punho, na tabaqueira anatômica",Yang Ming,Intestino Grosso,Não,N/A,Ponto rio
LI6,Pian Li,"3 cun acima do pulso, no lado radial do antebraço",Yang Ming,Intestino Grosso,Não,N/A,Ponto ramo
LI7,Wen Liu,"Na face lateral do antebraço, 5 cun acima do punho",Yang Ming,Intestino Grosso,Não,N/A,Dispersa calor
LI8,Xia Lian,"Na face lateral do antebraço, 4 cun distal da dobra do cotovelo",Yang Ming,Intestino Grosso,Não,N/A,Elimina obstruções do canal
LI9,Shang Lian,"Na face lateral do antebraço, 3 cun distal da dobra do cotovelo",Yang Ming,Intestino Grosso,Não,N/A,Ponto água
LI10,Shou San Li,"No dorso do antebraço, 2 cun distal do cotovelo",Yang Ming,Intestino Grosso,Não,N/A,Fortalece Qi e Sangue
LI11,Qu Chi,Na extremidade lateral da prega do cotovelo,Yang Ming,Intestino Grosso,Não,N/A,Ponto Terra e Mar
LI12,Zhou Liao,"No lado lateral do cotovelo, na depressão acima do epicôndilo lateral do úmero",Yang Ming,Intestino Grosso,Não,N/A,Relaxa tendões e músculos
LI13,Shou Wu Li,"3 cun acima de LI11, no músculo braquiorradial",Yang Ming,Intestino Grosso,Não,N/A,Trata distúrbios do braço
LI14,Bi Nao,"No bíceps braquial, 7 cun acima de LI11",Yang Ming,Intestino Grosso,Não,N/A,Ponto para dor no ombro
LI15,Jian Yu,"Na região do ombro, anterior e inferior ao acrômio,Yang Ming",Intestino Grosso,Não,N/A,Ponto de encontro com VB, ID e TA
LI16,Ju Gu,Na depressão entre o acrômio e a espinha da escápula,Yang Ming,Intestino Grosso,Não,N/A,Ponto para problema no ombro
LI17,Tian Ding,"No lado posterior do pescoço, 1 cun posterior à borda do músculo esternocleidomastóideo",Yang Ming,Intestino Grosso,Não,N/A,Trata problemas na garganta
LI18,Fu Tu,"Na borda posterior do músculo esternocleidomastóideo, ao nível da proeminência da laringe",Yang Ming,Intestino Grosso,Não,N/A,Trata problemas vocais
LI19,He Liao,"0,5 cun lateral à asa do nariz",Yang Ming,Intestino Grosso,Não,N/A,Trata problemas nasais
LI20,Ying Xiang,"No sulco nasolabial, ao nível do ponto médio da borda lateral da narina",Yang Ming,Intestino Grosso,Não,N/A,Ponto principal para problemas nasais
ST1,Cheng Qi,"Com os olhos abertos, 0,1 cun abaixo da margem infraorbital, na linha da pupila",Yang Ming,Estômago,Não,N/A,Início do canal do Estômago
ST2,Si Bai,"1 cun abaixo da margem infraorbital, na depressão no forâmen infraorbital",Yang Ming,Estômago,Não,N/A,Trata problemas oculares
ST3,Ju Liao,"Na linha vertical que passa pela pupila, ao nível das asas do nariz",Yang Ming,Estômago,Não,N/A,Trata problemas nasais e faciais
ST4,Di Cang,"Lateral à comissura da boca, diretamente abaixo de ST3",Yang Ming,Estômago,Não,N/A,Trata problemas faciais
ST5,Da Ying,"Na borda anterior do músculo masseter, na depressão anterior ao ângulo da mandíbula",Yang Ming,Estômago,Não,N/A,Trata problemas mandibulares
ST6,Jia Che,Na proeminência do músculo masseter,Yang Ming,Estômago,Não,N/A,Trata trismo e dor facial
ST7,Xia Guan,Na depressão entre o arco zigomático e o côndilo da mandíbula,Yang Ming,Estômago,Não,N/A,Trata distúrbios da ATM
ST8,Tou Wei,"0,5 cun acima do ângulo anterior do cabelo, 4,5 cun lateral à linha média",Yang Ming,Estômago,Não,N/A,Ponto de cefaleia
ST9,Ren Ying,"No músculo esternocleidomastóideo, no nível da proeminência da laringe, onde a artéria carótida pulsa",Yang Ming,Estômago,Não,N/A,Ponto de encontro com Ren Mai
ST10,Shui Tu,"No bordo anterior do músculo esternocleidomastóideo, no nível da proeminência da laringe",Yang Ming,Estômago,Não,N/A,Ponto para problemas da garganta
ST11,Qi She,"No bordo superior da clavícula, 1 cun lateral à borda lateral do osso hióide",Yang Ming,Estômago,Não,N/A,Trata problemas na garganta
ST12,Que Pen,"Na fossa supraclavicular, 4 cun lateral à linha média",Yang Ming,Estômago,Não,N/A,Dispersa estagnação torácica
ST13,Qi Hu,"Abaixo da extremidade lateral da clavícula, 4 cun lateral à linha média",Yang Ming,Estômago,Não,N/A,Trata distúrbios torácicos
ST14,Ku Fang,"No 1º espaço intercostal, 4 cun lateral à linha média",Yang Ming,Estômago,Não,N/A,Trata problemas respiratórios
ST15,Wu Yi,"No 2º espaço intercostal, 4 cun lateral à linha média",Yang Ming,Estômago,Não,N/A,Trata problemas torácicos
ST16,Ying Chuang,"No 3º espaço intercostal, 4 cun lateral à linha média",Yang Ming,Estômago,Não,N/A,Trata congestão torácica
ST17,Ru Zhong,"No centro do mamilo, no 4º espaço intercostal",Yang Ming,Estômago,Não,N/A,Ponto de referência
ST18,Ru Gen,"No 5º espaço intercostal, 4 cun lateral à linha média, abaixo do mamilo",Yang Ming,Estômago,Não,N/A,Trata problemas mamários
ST19,Bu Rong,"No 6º espaço intercostal, 6 cun lateral à linha média",Yang Ming,Estômago,Não,N/A,Trata distensão abdominal
ST20,Cheng Man,"No 7º espaço intercostal, 6 cun lateral à linha média",Yang Ming,Estômago,Não,N/A,Harmoniza o Estômago
ST21,Liang Men,"2 cun abaixo do último espaço intercostal, 4 cun lateral à linha média",Yang Ming,Estômago,Não,N/A,Trata problemas digestivos
ST22,Guan Men,"3 cun abaixo do último espaço intercostal, 4 cun lateral à linha média",Yang Ming,Estômago,Não,N/A,Regula o intestino
ST23,Tai Yi,"4 cun abaixo do último espaço intercostal, 4 cun lateral à linha média",Yang Ming,Estômago,Não,N/A,Trata distensão abdominal
ST24,Hua Rou Men,"5 cun abaixo do último espaço intercostal, 4 cun lateral à linha média",Yang Ming,Estômago,Não,N/A,Regula o intestino
ST25,Tian Shu,2 cun lateral ao umbigo,Yang Ming,Estômago,Não,N/A,Ponto Mu do Intestino Grosso
ST26,Wai Ling,"2 cun abaixo do umbigo, 2 cun lateral à linha média",Yang Ming,Estômago,Não,N/A,Regula o intestino
ST27,Da Ju,"3 cun abaixo do umbigo, 2 cun lateral à linha média",Yang Ming,Estômago,Não,N/A,Trata distúrbios urinários
ST28,Shui Dao,"4 cun abaixo do umbigo, 2 cun lateral à linha média",Yang Ming,Estômago,Não,N/A,Trata problemas urogenitais
ST29,Gui Lai,"5 cun abaixo do umbigo, 2 cun lateral à linha média",Yang Ming,Estômago,Não,N/A,Trata problemas ginecológicos
ST30,Qi Chong,"5 cun abaixo do umbigo, 2 cun lateral à linha média, no mesmo nível do púbis",Yang Ming,Estômago,Não,N/A,Ponto de encontro com Chong Mai
ST31,Bi Guan,"Na linha que liga o EIAS ao bordo lateral da patela, ao nível da dobra inguinal",Yang Ming,Estômago,Não,N/A,Trata problemas da coxa
ST32,Fu Tu,"Na linha que liga o EIAS ao bordo lateral da patela, 6 cun acima da borda superior da patela",Yang Ming,Estômago,Não,N/A,Trata problemas da coxa
ST33,Yin Shi,"Na linha que liga o EIAS ao bordo lateral da patela, 3 cun acima da borda superior da patela",Yang Ming,Estômago,Não,N/A,Trata problemas do joelho
ST34,Liang Qiu,"Na linha que liga o EIAS ao bordo lateral da patela, 2 cun acima da borda superior da patela",Yang Ming,Estômago,Não,N/A,Ponto Xi
ST35,Du Bi,"Na depressão lateral ao tendão patelar, quando o joelho está fletido",Yang Ming,Estômago,Não,N/A,Ponto para dor no joelho
ST36,Zu San Li,"3 cun abaixo da patela, 1 cun lateral à crista da tíbia,Yang Ming",Estômago,Não,N/A,Ponto Mar e Terra, fortalece o corpo
ST37,Shang Ju Xu,"6 cun abaixo da patela, 1 cun lateral à crista da tíbia",Yang Ming,Estômago,Não,N/A,Ponto Mar Inferior do Intestino Grosso
ST38,Tiao Kou,"8 cun abaixo da patela, 1 cun lateral à crista da tíbia",Yang Ming,Estômago,Não,N/A,Trata problemas do ombro
ST39,Xia Ju Xu,"9 cun abaixo da patela, 1 cun lateral à crista da tíbia",Yang Ming,Estômago,Não,N/A,Ponto Mar Inferior do Intestino Delgado
ST40,Feng Long,"8 cun acima do maléolo lateral, no bordo lateral da tíbia,Yang Ming",Estômago,Não,N/A,Ponto Luo, resolve fleuma
ST41,Jie Xi,"No dorso do pé, na prega da articulação tibiotársica, entre os tendões do extensor longo do hálux e o extensor longo dos dedos",Yang Ming,Estômago,Não,N/A,Ponto riacho e metal
ST42,Chong Yang,"No dorso do pé, na linha entre o 2º e 3º metatarso, na depressão distal à junção do 2º e 3º ossos cuneiformes",Yang Ming,Estômago,Não,N/A,Ponto fonte
ST43,Xian Gu,"No dorso do pé, na depressão distal à junção dos 2º e 3º metatarsos",Yang Ming,Estômago,Não,N/A,Ponto madeira
ST44,Nei Ting,"Entre o 2º e 3º metatarsos, proximal às cabeças dos metatarsos",Yang Ming,Estômago,Não,N/A,Ponto riacho
ST45,Li Dui,"0,1 cun proximal ao ângulo ungueal do segundo dedo do pé",Yang Ming,Estômago,Não,N/A,Ponto poço
SP1,Yin Bai,"No lado medial do hálux, 0,1 cun proximal ao ângulo ungueal",Tai Yin,Baço-Pâncreas,Não,N/A,Ponto poço e ponto madeira
SP2,Da Du,"No lado medial do hálux, distal à articulação metatarsofalangeana",Tai Yin,Baço-Pâncreas,Não,N/A,Ponto riacho
SP3,Tai Bai,"No lado medial do pé, na articulação metatarsofalangeana do hálux",Tai Yin,Baço-Pâncreas,Não,N/A,Ponto fonte e ponto terra
SP4,Gong Sun,"Na borda medial do pé, em uma depressão distal à base do primeiro metatarso,Tai Yin",Baço-Pâncreas,Chong Mai,Abre,Ponto Luo, conecta com o Chong Mai
SP5,Shang Qiu,Na depressão anteroinferior ao maléolo medial,Tai Yin,Baço-Pâncreas,Não,N/A,Ponto rio e metal
SP6,San Yin Jiao,"3 cun acima da ponta do maléolo medial, na borda posterior da tíbia",Tai Yin,Baço-Pâncreas,Não,N/A,Cruza os 3 meridianos Yin da perna
SP7,Lou Gu,"6 cun acima do maléolo medial, na borda posterior da tíbia",Tai Yin,Baço-Pâncreas,Não,N/A,Tonifica o Baço
SP8,Di Ji,"3 cun abaixo de SP9, na borda posterior da tíbia",Tai Yin,Baço-Pâncreas,Não,N/A,Ponto Xi
SP9,Yin Ling Quan,"Na borda inferior da tuberosidade da tíbia, na depressão no bordo inferior do côndilo medial da tíbia",Tai Yin,Baço-Pâncreas,Não,N/A,Ponto água e Mar
SP10,Xue Hai,"2 cun acima da borda superior da patela, na protuberância do vasto medial,Tai Yin",Baço-Pâncreas,Não,N/A,Mar do Sangue, tonifica e regula o sangue
SP11,Ji Men,"6 cun acima da borda superior da patela, 6 cun ao longo do canal a partir de SP10",Tai Yin,Baço-Pâncreas,Não,N/A,Trata problemas abdominais
SP12,Chong Men,"Na virilha, na extremidade lateral da dobra inguinal, na borda do púbis",Tai Yin,Baço-Pâncreas,Não,N/A,Regula o Chong Mai
SP13,Fu She,"Na extremidade lateral da dobra inguinal, 4 cun lateral à linha média",Tai Yin,Baço-Pâncreas,Não,N/A,Trata problemas abdominais
SP14,Fu Jie,"4 cun abaixo do umbigo, 4 cun lateral à linha média",Tai Yin,Baço-Pâncreas,Não,N/A,Regula o intestino
SP15,Da Heng,4 cun lateral ao umbigo,Tai Yin,Baço-Pâncreas,Não,N/A,Regula o intestino
SP16,Fu Ai,"3 cun acima do umbigo, 4 cun lateral à linha média",Tai Yin,Baço-Pâncreas,Não,N/A,Trata distensão abdominal
SP17,Shi Dou,"No 5º espaço intercostal, 6 cun lateral à linha média",Tai Yin,Baço-Pâncreas,Não,N/A,Trata problemas digestivos
SP18,Tian Xi,"No 4º espaço intercostal, 6 cun lateral à linha média",Tai Yin,Baço-Pâncreas,Não,N/A,Trata problemas mamários
SP19,Xiong Xiang,"No 3º espaço intercostal, 6 cun lateral à linha média",Tai Yin,Baço-Pâncreas,Não,N/A,Trata problemas torácicos
SP20,Zhou Rong,"No 2º espaço intercostal, 6 cun lateral à linha média",Tai Yin,Baço-Pâncreas,Não,N/A,Trata problemas respiratórios
SP21,Da Bao,"Na linha axilar média, no 6º espaço intercostal",Tai Yin,Baço-Pâncreas,Não,N/A,Grande Luo do Baço
HT1,Ji Quan,"No centro da axila, na fossa axilar quando o braço está em abdução",Shao Yin,Coração,Não,N/A,Ponto de inserção do canal
HT2,Qing Ling,"No lado medial do braço, 3 cun acima da prega da axila",Shao Yin,Coração,Não,N/A,Acalma o espírito
HT3,Shao Hai,"Com o cotovelo flexionado, no ponto médio entre o epicôndilo medial do úmero e o olécrano",Shao Yin,Coração,Não,N/A,Ponto mar
HT4,Ling Dao,"Na face medial do antebraço, 1,5 cun acima da dobra volar do punho",Shao Yin,Coração,Não,N/A,Ponto junção
HT5,Tong Li,"1 cun proximal ao punho, no lado ulnar do tendão do flexor ulnar do carpo",Shao Yin,Coração,Não,N/A,Ponto Luo
HT6,Yin Xi,"0,5 cun proximal ao punho, no lado ulnar do tendão do flexor ulnar do carpo",Shao Yin,Coração,Não,N/A,Ponto Xi
HT7,Shen Men,"Na dobra do punho, entre os tendões dos músculos flexor ulnar do carpo e palmar longo,Shao Yin",Coração,Não,N/A,Ponto fonte e terra, acalma a mente
HT8,Shao Fu,"Na palma da mão, entre o 4º e 5º metacarpo",Shao Yin,Coração,Não,N/A,Ponto fogo
HT9,Shao Chong,"No lado radial da falange distal do dedo mínimo, 0,1 cun do ângulo ungueal",Shao Yin,Coração,Não,N/A,Ponto poço
SI1,Shao Ze,"No lado ulnar da falange distal do dedo mínimo, 0,1 cun do ângulo ungueal",Tai Yang,Intestino Delgado,Não,N/A,Ponto poço
SI2,Qian Gu,"Quando o punho está cerrado, na borda ulnar da articulação metacarpofalangeana do dedo mínimo",Tai Yang,Intestino Delgado,Não,N/A,Ponto riacho
SI3,Hou Xi,"Na borda ulnar da mão, proximal à cabeça do 5º metacarpo, na transição da pele clara e escura,Tai Yang",Intestino Delgado,Du Mai,Abre,Ponto rio e ponto madeira, abre o Du Mai
SI4,Wan Gu,"No lado ulnar do punho, na depressão entre o osso pisiforme e a base do 5º metacarpo",Tai Yang,Intestino Delgado,Não,N/A,Ponto fonte
SI5,Yang Gu,"Na borda ulnar do punho, na depressão entre o processo estilóide da ulna e o osso piramidal",Tai Yang,Intestino Delgado,Não,N/A,Ponto rio e metal
SI6,Yang Lao,"Em uma depressão dorsal do punho, entre o processo estilóide da ulna e o osso triquetral",Tai Yang,Intestino Delgado,Não,N/A,Ponto xi
SI7,Zhi Zheng,"5 cun acima do punho, na borda ulnar do antebraço",Tai Yang,Intestino Delgado,Não,N/A,Beneficia os órgãos dos sentidos
SI8,Xiao Hai,Entre o olécrano e o epicôndilo medial do úmero,Tai Yang,Intestino Delgado,Não,N/A,Ponto mar
SI9,Jian Zhen,"Posterior à articulação do ombro, 1 cun acima da dobra axilar posterior",Tai Yang,Intestino Delgado,Não,N/A,Trata dor no ombro
SI10,Nao Shu,"Quando o braço é elevado, no bordo inferior da espinha da escápula",Tai Yang,Intestino Delgado,Não,N/A,Trata dor no ombro
SI11,Tian Zong,No centro da fossa infraespinhal,Tai Yang,Intestino Delgado,Não,N/A,Relaxa músculos e tendões
SI12,Bing Feng,"Na fossa supraespinhal, diretamente acima da metade da espinha da escápula",Tai Yang,Intestino Delgado,Não,N/A,Trata rigidez dos músculos do ombro
SI13,Qu Yuan,Na borda medial da fossa supraespinhal,Tai Yang,Intestino Delgado,Não,N/A,Trata rigidez do pescoço
SI14,Jian Wai Shu,2 cun lateral ao bordo inferior do processo espinhoso da primeira vértebra torácica,Tai Yang,Intestino Delgado,Não,N/A,Relaxa os músculos do ombro
SI15,Jian Zhong Shu,2 cun lateral ao bordo inferior do processo espinhoso da sétima vértebra cervical,Tai Yang,Intestino Delgado,Não,N/A,Trata dor nas costas e pescoço
SI16,Tian Chuang,"Posterior ao músculo esternocleidomastóideo, no nível da proeminência da laringe",Tai Yang,Intestino Delgado,Não,N/A,Trata problemas na garganta
SI17,Tian Rong,"Posterior ao ângulo da mandíbula, na borda anterior do músculo esternocleidomastóideo",Tai Yang,Intestino Delgado,Não,N/A,Trata problemas de audição
SI18,Quan Liao,"Abaixo do arco zigomático, na depressão anterior ao côndilo da mandíbula",Tai Yang,Intestino Delgado,Não,N/A,Trata dor facial
SI19,Ting Gong,"Anterior ao trago, na depressão formada quando a boca está aberta",Tai Yang,Intestino Delgado,Não,N/A,Trata problemas auditivos
BL1,Jing Ming,"No canto interno do olho, na depressão acima do canto interno do olho",Tai Yang,Bexiga,Não,N/A,Início do meridiano da bexiga
BL2,Zan Zhu,"Na extremidade medial da sobrancelha, na incisura supraorbital",Tai Yang,Bexiga,Não,N/A,Ponto para problemas oculares
BL3,Mei Chong,"Diretamente acima do ponto médio da sobrancelha, 0,5 cun na linha anterior do cabelo",Tai Yang,Bexiga,Não,N/A,Trata problemas oculares
BL4,Qu Chai,"0,5 cun lateral à linha média, 0,5 cun dentro da linha anterior do cabelo",Tai Yang,Bexiga,Não,N/A,Trata cefaleia
BL5,Wu Chu,"1 cun atrás de BL4, 0,5 cun lateral à linha média",Tai Yang,Bexiga,Não,N/A,Trata cefaleia
BL6,Cheng Guang,"1,5 cun posterior à linha anterior do cabelo, 0,5 cun lateral à linha média",Tai Yang,Bexiga,Não,N/A,Trata problemas nasais
BL7,Tong Tian,"1 cun lateral à linha média, 4 cun posterior à linha anterior do cabelo",Tai Yang,Bexiga,Não,N/A,Meridiano Taiyang da cabeça
BL8,Luo Que,"1,5 cun lateral à linha média, no topo da cabeça, 5,5 cun posterior à linha anterior do cabelo",Tai Yang,Bexiga,Não,N/A,Abre os sentidos
BL9,Yu Zhen,"1,5 cun lateral à linha média, 6 cun posterior à linha anterior do cabelo",Tai Yang,Bexiga,Não,N/A,Trata problemas de visão
BL10,Tian Zhu,"Na borda posterior do pescoço, 1 cun lateral à linha média, na depressão abaixo do osso occipital",Tai Yang,Bexiga,Não,N/A,Trata rigidez do pescoço
BL11,Da Zhu,"1,5 cun lateral à linha média, no nível do processo espinhoso da primeira vértebra torácica",Tai Yang,Bexiga,Não,N/A,Ponto de encontro com o meridiano do Intestino Delgado
BL12,Feng Men,"1,5 cun lateral à linha média, no nível do processo espinhoso da segunda vértebra torácica",Tai Yang,Bexiga,Não,N/A,Trata resfriados e gripes
BL13,Fei Shu,"1,5 cun lateral à linha média, no nível do processo espinhoso da terceira vértebra torácica",Tai Yang,Bexiga,Não,N/A,Ponto Shu do Pulmão
BL14,Jue Yin Shu,"1,5 cun lateral à linha média, no nível do processo espinhoso da quarta vértebra torácica",Tai Yang,Bexiga,Não,N/A,Ponto Shu do Pericárdio
BL15,Xin Shu,"1,5 cun lateral à linha média, no nível do processo espinhoso da quinta vértebra torácica",Tai Yang,Bexiga,Não,N/A,Ponto Shu do Coração
BL16,Du Shu,"1,5 cun lateral à linha média, no nível do processo espinhoso da sexta vértebra torácica",Tai Yang,Bexiga,Não,N/A,Ponto Shu do Diafragma
BL17,Ge Shu,"1,5 cun lateral à linha média, no nível do processo espinhoso da sétima vértebra torácica",Tai Yang,Bexiga,Não,N/A,Ponto Shu do Estômago
BL18,Gan Shu,"1,5 cun lateral à linha média, no nível do processo espinhoso da nona vértebra torácica",Tai Yang,Bexiga,Não,N/A,Ponto Shu do Fígado
BL19,Dan Shu,"1,5 cun lateral à linha média, no nível do processo espinhoso da décima vértebra torácica",Tai Yang,Bexiga,Não,N/A,Ponto Shu da Vesícula Biliar
BL20,Pi Shu,"1,5 cun lateral à linha média, no nível do processo espinhoso da décima primeira vértebra torácica",Tai Yang,Bexiga,Não,N/A,Ponto Shu do Baço
BL21,Wei Shu,"1,5 cun lateral à linha média, no nível do processo espinhoso da décima segunda vértebra torácica",Tai Yang,Bexiga,Não,N/A,Ponto Shu do Estômago
BL22,San Jiao Shu,"1,5 cun lateral à linha média, no nível do processo espinhoso da primeira vértebra lombar",Tai Yang,Bexiga,Não,N/A,Ponto Shu do Triplo Aquecedor
BL23,Shen Shu,"1,5 cun lateral à linha média, no nível do processo espinhoso da segunda vértebra lombar",Tai Yang,Bexiga,Não,N/A,Ponto Shu do Rim
BL24,Qi Hai Shu,"1,5 cun lateral à linha média, no nível do processo espinhoso da terceira vértebra lombar",Tai Yang,Bexiga,Não,N/A,Fortalece o Qi
BL25,Da Chang Shu,"1,5 cun lateral à linha média, no nível do processo espinhoso da quarta vértebra lombar",Tai Yang,Bexiga,Não,N/A,Ponto Shu do Intestino Grosso
BL26,Guan Yuan Shu,"1,5 cun lateral à linha média, no nível do processo espinhoso da quinta vértebra lombar",Tai Yang,Bexiga,Não,N/A,Trata problemas urogenitais
BL27,Xiao Chang Shu,"1,5 cun lateral à linha média, no nível do processo espinhoso da primeira vértebra sacral",Tai Yang,Bexiga,Não,N/A,Ponto Shu do Intestino Delgado
