Nome OMS,Nome Chinês,Localização,Nível Energético,Meridiano Regular,Canal Maravilhoso,Função CM,Particularidade
DU2,Yao Shu,"Na região sacral, no ponto médio entre o cóccix e o ânus",Não,Não,Du Mai,Não,N/A,Trata problemas lombares
DU3,Yao Yang Guan,"Na região lombar, no nível do processo espinhoso da quarta vértebra lombar",Não,Não,Du Mai,Não,N/A,Trata problemas lombares
DU4,Ming Men,"Na região lombar, no nível do processo espinhoso da segunda vértebra lombar",Não,Não,Du Mai,Não,N/A,Fortalece os rins
DU5,Xuán Shu,"Na região lombar, no nível do processo espinhoso da primeira vértebra lombar",Não,Não,Du Mai,Não,N/A,Trata problemas lombares
DU6,Ji Zhong,"Na região torácica, no nível do processo espinhoso da décima primeira vértebra torácica",Não,Não,Du Mai,Não,N/A,Trata problemas torácicos
DU7,Zhong Shu,"Na região torácica, no nível do processo espinhoso da décima vértebra torácica",Não,Não,Du Mai,Não,N/A,Trata problemas torácicos
DU8,Jin Suo,"Na região torácica, no nível do processo espinhoso da nona vértebra torácica",Não,Não,Du Mai,Não,N/A,Trata problemas torácicos
DU9,Zhi Yang,"Na região torácica, no nível do processo espinhoso da sétima vértebra torácica",Não,Não,Du Mai,Não,N/A,Trata problemas torácicos
DU10,Ling Tai,"Na região torácica, no nível do processo espinhoso da sexta vértebra torácica",Não,Não,Du Mai,Não,N/A,Trata problemas torácicos
DU11,Shendao,"Na região torácica, no nível do processo espinhoso da quinta vértebra torácica",Não,Não,Du Mai,Não,N/A,Trata problemas torácicos
DU12,Shen Zhu,"Na região torácica, no nível do processo espinhoso da terceira vértebra torácica",Não,Não,Du Mai,Não,N/A,Trata problemas torácicos
DU13,Tao Dao,"Na região torácica, no nível do processo espinhoso da primeira vértebra torácica",Não,Não,Du Mai,Não,N/A,Trata problemas torácicos
DU14,Dazhui,"Na região cervical, no nível do processo espinhoso da sétima vértebra cervical",Não,Não,Du Mai,Não,N/A,Ponto de encontro com os meridianos Yang
DU15,Ya Men,"Na região cervical, no nível do processo espinhoso da primeira vértebra cervical",Não,Não,Du Mai,Não,N/A,Trata problemas cervicais
DU16,Feng Fu,"Na região cervical, na depressão abaixo do osso occipital",Não,Não,Du Mai,Não,N/A,Trata cefaleia e rigidez do pescoço
DU17,Nao Hu,"Na região cervical, 1,5 cun acima de DU16",Não,Não,Du Mai,Não,N/A,Trata cefaleia
DU18,Qiang Jian,"Na região cervical, 1,5 cun acima de DU17",Não,Não,Du Mai,Não,N/A,Trata cefaleia
DU19,Hou Ding,"Na região cervical, 1,5 cun acima de DU18",Não,Não,Du Mai,Não,N/A,Trata cefaleia
DU20,Bai Hui,"No topo da cabeça, no ponto médio entre as orelhas",Não,Não,Du Mai,Não,N/A,Ponto de encontro com todos os meridianos Yang
DU21,Qian Ding,"Na região frontal, 1,5 cun acima de DU20",Não,Não,Du Mai,Não,N/A,Trata cefaleia
DU22,Xin Hui,"Na região frontal, 1,5 cun acima de DU21",Não,Não,Du Mai,Não,N/A,Trata cefaleia
DU23,Shang Xing,"Na região frontal, 1,5 cun acima de DU22",Não,Não,Du Mai,Não,N/A,Trata cefaleia
DU24,Shenting,"Na região frontal, 1,5 cun acima de DU23",Não,Não,Du Mai,Não,N/A,Trata cefaleia e problemas mentais
REN1,Hui Yin,"Na região perineal, no ponto médio entre o ânus e os genitais",Não,Não,Ren Mai,Não,N/A,Ponto de partida do Ren Mai
REN2,Qu Gu,"Na região púbica, 1 cun acima do púbis",Não,Não,Ren Mai,Não,N/A,Trata problemas urogenitais
REN3,Zhong Ji,"Na região abdominal, 4 cun abaixo do umbigo",Não,Não,Ren Mai,Não,N/A,Ponto Mu da Bexiga
REN4,Guanyuan,"Na região abdominal, 3 cun abaixo do umbigo",Não,Não,Ren Mai,Não,N/A,Fortalece o Qi e o Sangue
REN5,Shimen,"Na região abdominal, 2 cun abaixo do umbigo",Não,Não,Ren Mai,Não,N/A,Ponto Mu do Intestino Delgado
REN6,Qihai,"Na região abdominal, 1,5 cun abaixo do umbigo",Não,Não,Ren Mai,Não,N/A,Fortalece o Qi
REN7,Yinjiao,"Na região abdominal, 1 cun abaixo do umbigo",Não,Não,Ren Mai,Não,N/A,Trata problemas abdominais
REN8,Shenque,"No umbigo",Não,Não,Ren Mai,Não,N/A,Trata problemas abdominais
REN9,Shuifen,"Na região abdominal, 1 cun acima do umbigo",Não,Não,Ren Mai,Não,N/A,Trata problemas abdominais
REN10,Xiawan,"Na região abdominal, 2 cun acima do umbigo",Não,Não,Ren Mai,Não,N/A,Trata problemas digestivos
REN11,Jianli,"Na região abdominal, 3 cun acima do umbigo",Não,Não,Ren Mai,Não,N/A,Trata problemas digestivos
REN12,Zhongwan,"Na região abdominal, 4 cun acima do umbigo",Não,Não,Ren Mai,Não,N/A,Ponto Mu do Estômago
REN13,Shangwan,"Na região abdominal, 5 cun acima do umbigo",Não,Não,Ren Mai,Não,N/A,Trata problemas digestivos
REN14,Juque,"Na região abdominal, 6 cun acima do umbigo",Não,Não,Ren Mai,Não,N/A,Ponto Mu do Coração
REN15,Jiuwei,"Na região torácica, 1 cun abaixo do esterno",Não,Não,Ren Mai,Não,N/A,Trata problemas torácicos
REN16,Zhongting,"Na região torácica, no nível do quinto espaço intercostal",Não,Não,Ren Mai,Não,N/A,Trata problemas torácicos
REN17,Shanzhong,"Na região torácica, no nível do quarto espaço intercostal",Não,Não,Ren Mai,Não,N/A,Ponto Mu do Pericárdio
REN18,Yutang,"Na região torácica, no nível do terceiro espaço intercostal",Não,Não,Ren Mai,Não,N/A,Trata problemas torácicos
REN19,Zigong,"Na região torácica, no nível do segundo espaço intercostal",Não,Não,Ren Mai,Não,N/A,Trata problemas torácicos
REN20,Huagai,"Na região torácica, no nível do primeiro espaço intercostal",Não,Não,Ren Mai,Não,N/A,Trata problemas torácicos
REN21,Xuanji,"Na região torácica, no nível da fúrcula esternal",Não,Não,Ren Mai,Não,N/A,Trata problemas torácicos
REN22,Tiantu,"Na região cervical, na depressão acima do esterno",Não,Não,Ren Mai,Não,N/A,Trata problemas respiratórios
REN23,Lianquan,"Na região cervical, na depressão acima do osso hióide",Não,Não,Ren Mai,Não,N/A,Trata problemas na garganta
REN24,Chengjiang,"No centro do queixo",Não,Não,Ren Mai,Não,N/A,Trata problemas faciais
EX-HN1,Yin Tang,No ponto médio entre as sobrancelhas,Não,Não,Não,N/A,Trata cefaleia e insônia
EX-HN2,Tai Yang,"Na região temporal, na depressão entre o olho e a sobrancelha",Não,Não,Não,N/A,Trata cefaleia e problemas oculares
EX-HN3,Yu Yao,No ponto médio da sobrancelha,Não,Não,Não,N/A,Trata problemas oculares
EX-HN4,Si Shen Cong,Quatro pontos ao redor do ponto DU20 (Bai Hui),Não,Não,Não,N/A,Trata cefaleia e insônia
EX-HN5,Jiu Wei,"Na região abdominal, 1 cun abaixo do umbigo",Não,Não,Não,N/A,Trata problemas abdominais
EX-HN6,Qi Xue,"Na região abdominal, 2 cun abaixo do umbigo",Não,Não,Não,N/A,Trata problemas abdominais
EX-HN7,Ge Shu,"Na região abdominal, 3 cun abaixo do umbigo",Não,Não,Não,N/A,Trata problemas abdominais
EX-HN8,Hua Tuo Jia Ji,"Paralelo à coluna vertebral, 0,5 cun lateral a cada lado",Não,Não,Não,N/A,Trata problemas da coluna
EX-LE1,Heding,No centro da patela,Não,Não,Não,N/A,Trata problemas do joelho
EX-LE2,Xi Yan,Na depressão lateral ao tendão patelar,Não,Não,Não,N/A,Trata problemas do joelho
EX-LE3,Lan Wei,"Na região abdominal, 2 cun abaixo do umbigo, 2 cun lateral à linha média",Não,Não,Não,N/A,Trata apendicite
EX-LE4,Dan Nang,"Na região abdominal, 2 cun abaixo do umbigo, 4 cun lateral à linha média",Não,Não,Não,N/A,Trata problemas da vesícula biliar
EX-LE5,Nei Ting,Entre o segundo e terceiro metatarsos,Não,Não,Não,N/A,Trata problemas do pé
EX-LE6,Yong Quan,"Na planta do pé, no terço anterior",Não,Não,Não,N/A,Trata problemas do pé
EX-UE1,Shi Xuan,Nas pontas dos dez dedos das mãos,Não,Não,Não,N/A,Trata emergências médicas
EX-UE2,Ba Xie,Entre os dedos das mãos,Não,Não,Não,N/A,Trata problemas das mãos
EX-UE3,Si Feng,Nas articulações interfalângicas dos dedos,Não,Não,Não,N/A,Trata problemas das mãos
EX-UE4,Lao Gong,"Na palma da mão, entre o segundo e terceiro metacarpo",Não,Não,Não,N/A,Trata problemas das mãos
EX-UE5,Da Zhui,"Na região cervical, abaixo da sétima vértebra cervical",Não,Não,Não,N/A,Trata problemas do pescoço
EX-UE6,Jian Jing,"Na região do ombro, no ponto médio entre o acrômio e a sétima vértebra cervical",Não,Não,Não,N/A,Trata problemas do ombro
EX-UE7,Jian Wai Shu,"Na região do ombro, 2 cun lateral ao bordo inferior do processo espinhoso da primeira vértebra torácica",Não,Não,Não,N/A,Trata problemas do ombro
EX-UE8,Jian Zhong Shu,"Na região do ombro, 2 cun lateral ao bordo inferior do processo espinhoso da sétima vértebra cervical",Não,Não,Não,N/A,Trata problemas do ombro
EX-UE9,Tian Zong,No centro da fossa infraespinhal,Não,Não,Não,N/A,Trata problemas do ombro
EX-UE10,Bing Feng,"Na fossa supraespinhal, diretamente acima da metade da espinha da escápula",Não,Não,Não,N/A,Trata problemas do ombro
EX-UE11,Qu Yuan,Na borda medial da fossa supraespinhal,Não,Não,Não,N/A,Trata problemas do ombro
EX-UE12,Jian Wai Shu,2 cun lateral ao bordo inferior do processo espinhoso da primeira vértebra torácica,Não,Não,Não,N/A,Trata problemas do ombro
EX-UE13,Jian Zhong Shu,2 cun lateral ao bordo inferior do processo espinhoso da sétima vértebra cervical,Não,Não,Não,N/A,Trata problemas do ombro
EX-UE14,Tian Chuang,"Posterior ao músculo esternocleidomastóideo, no nível da proeminência da laringe",Não,Não,Não,N/A,Trata problemas da garganta
EX-UE15,Tian Rong,"Posterior ao ângulo da mandíbula, na borda anterior do músculo esternocleidomastóideo",Não,Não,Não,N/A,Trata problemas de audição
EX-UE16,Quan Liao,"Abaixo do arco zigomático, na depressão anterior ao côndilo da mandíbula",Não,Não,Não,N/A,Trata dor facial
EX-UE17,Ting Gong,"Anterior ao trago, na depressão formada quando a boca está aberta",Não,Não,Não,N/A,Trata problemas auditivos
EX-UE18,Jing Ming,"No canto interno do olho, na depressão acima do canto interno do olho",Não,Não,Não,N/A,Trata problemas oculares
EX-UE19,Zan Zhu,"Na extremidade medial da sobrancelha, na incisura supraorbital",Não,Não,Não,N/A,Trata problemas oculares
EX-UE20,Mei Chong,"Diretamente acima do ponto médio da sobrancelha, 0,5 cun na linha anterior do cabelo",Não,Não,Não,N/A,Trata problemas oculares
EX-UE21,Qu Chai,"0,5 cun lateral à linha média, 0,5 cun dentro da linha anterior do cabelo",Não,Não,Não,N/A,Trata cefaleia
EX-UE22,Wu Chu,"1 cun atrás de BL4, 0,5 cun lateral à linha média",Não,Não,Não,N/A,Trata cefaleia
EX-UE23,Cheng Guang,"1,5 cun posterior à linha anterior do cabelo, 0,5 cun lateral à linha média",Não,Não,Não,N/A,Trata problemas nasais
EX-UE24,Tong Tian,"1 cun lateral à linha média, 4 cun posterior à linha anterior do cabelo",Não,Não,Não,N/A,Trata problemas nasais
EX-UE25,Luo Que,"1,5 cun lateral à linha média, no topo da cabeça, 5,5 cun posterior à linha anterior do cabelo",Não,Não,Não,N/A,Trata problemas nasais
EX-UE26,Yu Zhen,"1,5 cun lateral à linha média, 6 cun posterior à linha anterior do cabelo",Não,Não,Não,N/A,Trata problemas de visão
EX-UE27,Tian Zhu,"Na borda posterior do pescoço, 1 cun lateral à linha média, na depressão abaixo do osso occipital",Não,Não,Não,N/A,Trata rigidez do pescoço
EX-UE28,Da Zhu,"1,5 cun lateral à linha média, no nível do processo espinhoso da primeira vértebra torácica",Não,Não,Não,N/A,Trata problemas torácicos
EX-UE29,Feng Men,"1,5 cun lateral à linha média, no nível do processo espinhoso da segunda vértebra torácica",Não,Não,Não,N/A,Trata resfriados e gripes
EX-UE30,Fei Shu,"1,5 cun lateral à linha média, no nível do processo espinhoso da terceira vértebra torácica",Não,Não,Não,N/A,Trata problemas respiratórios
EX-UE31,Jue Yin Shu,"1,5 cun lateral à linha média, no nível do processo espinhoso da quarta vértebra torácica",Não,Não,Não,N/A,Trata problemas cardíacos
EX-UE32,Xin Shu,"1,5 cun lateral à linha média, no nível do processo espinhoso da quinta vértebra torácica",Não,Não,Não,N/A,Trata problemas cardíacos
EX-UE33,Du Shu,"1,5 cun lateral à linha média, no nível do processo espinhoso da sexta vértebra torácica",Não,Não,Não,N/A,Trata problemas digestivos
EX-UE34,Ge Shu,"1,5 cun lateral à linha média, no nível do processo espinhoso da sétima vértebra torácica",Não,Não,Não,N/A,Trata problemas digestivos
EX-UE35,Gan Shu,"1,5 cun lateral à linha média, no nível do processo espinhoso da nona vértebra torácica",Não,Não,Não,N/A,Trata problemas hepáticos
EX-UE36,Dan Shu,"1,5 cun lateral à linha média, no nível do processo espinhoso da décima vértebra torácica",Não,Não,Não,N/A,Trata problemas da vesícula biliar
EX-UE37,Pi Shu,"1,5 cun lateral à linha média, no nível do processo espinhoso da décima primeira vértebra torácica",Não,Não,Não,N/A,Trata problemas do baço
EX-UE38,Wei Shu,"1,5 cun lateral à linha média, no nível do processo espinhoso da décima segunda vértebra torácica",Não,Não,Não,N/A,Trata problemas do estômago
EX-UE39,San Jiao Shu,"1,5 cun lateral à linha média, no nível do processo espinhoso da primeira vértebra lombar",Não,Não,Não,N/A,Trata problemas do triplo aquecedor
EX-UE40,Shen Shu,"1,5 cun lateral à linha média, no nível do processo espinhoso da segunda vértebra lombar",Não,Não,Não,N/A,Trata problemas renais
EX-UE41,Qi Hai Shu,"1,5 cun lateral à linha média, no nível do processo espinhoso da terceira vértebra lombar",Não,Não,Não,N/A,Trata problemas abdominais
EX-UE42,Da Chang Shu,"1,5 cun lateral à linha média, no nível do processo espinhoso da quarta vértebra lombar",Não,Não,Não,N/A,Trata problemas intestinais
EX-UE43,Guan Yuan Shu,"1,5 cun lateral à linha média, no nível do processo espinhoso da quinta vértebra lombar",Não,Não,Não,N/A,Trata problemas urogenitais
EX-UE44,Xiao Chang Shu,"1,5 cun lateral à linha média, no nível do processo espinhoso da primeira vértebra sacral",Não,Não,Não,N/A,Trata problemas intestinais
EX-UE45,Pang Guang Shu,"1,5 cun lateral à linha média, no nível do processo espinhoso da segunda vértebra sacral",Não,Não,Não,N/A,Trata problemas da bexiga
EX-UE46,Zhong Lv Shu,"1,5 cun lateral à linha média, no nível do processo espinhoso da terceira vértebra sacral",Não,Não,Não,N/A,Trata problemas lombares
EX-UE47,Bai Huan Shu,"1,5 cun lateral à linha média, no nível do processo espinhoso da quarta vértebra sacral",Não,Não,Não,N/A,Trata problemas pélvicos
EX-UE48,Shang Liao,"Na região sacral, no primeiro forame sacral",Não,Não,Não,N/A,Trata problemas pélvicos
EX-UE49,Ci Liao,"Na região sacral, no segundo forame sacral",Não,Não,Não,N/A,Trata problemas pélvicos
EX-UE50,Zhong Liao,"Na região sacral, no terceiro forame sacral",Não,Não,Não,N/A,Trata problemas pélvicos
EX-UE51,Xia Liao,"Na região sacral, no quarto forame sacral",Não,Não,Não,N/A,Trata problemas pélvicos
EX-UE52,Hui Yang,"Na região sacral, 0,5 cun lateral ao cóccix",Não,Não,Não,N/A,Trata problemas pélvicos
EX-UE53,Cheng Fu,"Na região glútea, no meio da dobra glútea",Não,Não,Não,N/A,Trata problemas da coxa
EX-UE54,Yin Men,"Na região posterior da coxa, 6 cun acima da dobra poplítea",Não,Não,Não,N/A,Trata problemas da coxa
EX-UE55,Fu Xi,"Na região posterior da coxa, 9 cun acima da dobra poplítea",Não,Não,Não,N/A,Trata problemas da coxa
EX-UE56,Wei Yang,"Na região posterior do joelho, na dobra poplítea",Não,Não,Não,N/A,Trata problemas do joelho
EX-UE57,Wei Zhong,No centro da dobra poplítea,Não,Não,Não,N/A,Trata problemas lombares
EX-UE58,Fu Fen,"3 cun lateral à linha média, no nível do processo espinhoso da segunda vértebra torácica",Não,Não,Não,N/A,Trata problemas torácicos
EX-UE59,Po Hu,"3 cun lateral à linha média, no nível do processo espinhoso da terceira vértebra torácica",Não,Não,Não,N/A,Trata problemas respiratórios
EX-UE60,Gao Huang,"3 cun lateral à linha média, no nível do processo espinhoso da quarta vértebra torácica",Não,Não,Não,N/A,Trata problemas respiratórios
EX-UE61,Shen Tang,"3 cun lateral à linha média, no nível do processo espinhoso da quinta vértebra torácica",Não,Não,Não,N/A,Trata problemas cardíacos
EX-UE62,Yi Xi,"3 cun lateral à linha média, no nível do processo espinhoso da sexta vértebra torácica",Não,Não,Não,N/A,Trata problemas torácicos
EX-UE63,Ge Guan,"3 cun lateral à linha média, no nível do processo espinhoso da sétima vértebra torácica",Não,Não,Não,N/A,Trata problemas digestivos
EX-UE64,Hun Men,"3 cun lateral à linha média, no nível do processo espinhoso da nona vértebra torácica",Não,Não,Não,N/A,Trata problemas emocionais
EX-UE65,Yang Gang,"3 cun lateral à linha média, no nível do processo espinhoso da décima vértebra torácica",Não,Não,Não,N/A,Trata problemas digestivos
EX-UE66,Yi She,"3 cun lateral à linha média, no nível do processo espinhoso da décima primeira vértebra torácica",Não,Não,Não,N/A,Trata problemas digestivos
EX-UE67,Wei Cang,"3 cun lateral à linha média, no nível do processo espinhoso da décima segunda vértebra torácica",Não,Não,Não,N/A,Trata problemas digestivos
EX-UE68,Huang Men,"3 cun lateral à linha média, no nível do processo espinhoso da primeira vértebra lombar",Não,Não,Não,N/A,Trata problemas abdominais
EX-UE69,Zhi Shi,"3 cun lateral à linha média, no nível do processo espinhoso da segunda vértebra lombar",Não,Não,Não,N/A,Trata problemas lombares
EX-UE70,Bao Huang,"3 cun lateral à linha média, no nível do processo espinhoso da terceira vértebra lombar",Não,Não,Não,N/A,Trata problemas urogenitais
EX-UE71,Zhi Bian,"3 cun lateral à linha média, no nível do processo espinhoso da quarta vértebra lombar",Não,Não,Não,N/A,Trata problemas lombares
EX-UE72,He Yang,"Na região posterior da perna, 2 cun abaixo da dobra poplítea",Não,Não,Não,N/A,Trata problemas da perna
EX-UE73,Cheng Jin,"Na região posterior da perna, 5 cun abaixo da dobra poplítea",Não,Não,Não,N/A,Trata problemas da perna
EX-UE74,Cheng Shan,"Na região posterior da perna, no ponto médio entre a dobra poplítea e o tendão de Aquiles",Não,Não,Não,N/A,Trata problemas da perna
EX-UE75,Fei Yang,"7 cun acima do maléolo lateral, na borda lateral da fíbula",Não,Não,Não,N/A,Trata problemas da perna
EX-UE76,Fu Yang,"3 cun acima do maléolo lateral, na borda lateral da fíbula",Não,Não,Não,N/A,Trata problemas da perna
EX-UE77,Kun Lun,Na depressão entre o maléolo lateral e o tendão de Aquiles,Não,Não,Não,N/A,Trata problemas do tornozelo
EX-UE78,Pu Can,"Na borda lateral do pé, 1 cun abaixo do maléolo lateral",Não,Não,Não,N/A,Trata problemas do pé
EX-UE79,Shen Mai,"Na borda lateral do pé, 0,5 cun abaixo do maléolo lateral",Não,Não,Não,N/A,Trata problemas do pé
EX-UE80,Jin Men,"Na borda lateral do pé, 0,5 cun acima do maléolo lateral",Não,Não,Não,N/A,Trata problemas do pé
EX-UE81,Jing Gu,"Na borda lateral do pé, na depressão distal ao maléolo lateral",Não,Não,Não,N/A,Trata problemas do pé
EX-UE82,Shu Gu,"Na borda lateral do pé, na depressão distal ao maléolo lateral",Não,Não,Não,N/A,Trata problemas do pé
EX-UE83,Zu Tong Gu,"Na borda lateral do pé, na depressão distal ao maléolo lateral",Não,Não,Não,N/A,Trata problemas do pé
EX-UE84,Zhi Yin,"No lado lateral do dedo mínimo do pé, 0,1 cun proximal ao ângulo ungueal",Não,Não,Não,N/A,Trata problemas do pé
EX-UE85,Yong Quan,"Na planta do pé, no terço anterior",Não,Não,Não,N/A,Trata problemas do pé
EX-UE86,Ran Gu,"Na planta do pé, no terço médio",Não,Não,Não,N/A,Trata problemas do pé
EX-UE87,Tai Xi,"Na região medial do tornozelo, na depressão entre o maléolo medial e o tendão de Aquiles",Não,Não,Não,N/A,Trata problemas do tornozelo
EX-UE88,Da Zhong,"Na região medial do tornozelo, 1 cun abaixo de KI3",Não,Não,Não,N/A,Trata problemas do tornozelo
EX-UE89,Shui Quan,"Na região medial do tornozelo, 1 cun abaixo de KI4",Não,Não,Não,N/A,Trata problemas do tornozelo
EX-UE90,Zhao Hai,"Na região medial do tornozelo, 1 cun abaixo do maléolo medial",Não,Não,Não,N/A,Trata problemas do tornozelo
EX-UE91,Fu Liu,"Na região medial da perna, 2 cun acima do maléolo medial",Não,Não,Não,N/A,Trata problemas da perna
EX-UE92,Jiao Xin,"Na região medial da perna, 2 cun acima de KI7",Não,Não,Não,N/A,Trata problemas da perna
EX-UE93,Zhu Bin,"Na região medial da perna, 5 cun acima do maléolo medial",Não,Não,Não,N/A,Trata problemas da perna
EX-UE94,Yin Gu,"Na região medial da coxa, 3 cun acima da borda medial da patela",Não,Não,Não,N/A,Trata problemas da coxa
EX-UE95,Heng Gu,"Na região inguinal, 5 cun lateral ao púbis",Não,Não,Não,N/A,Trata problemas urogenitais
EX-UE96,Da He,"Na região inguinal, 4 cun lateral ao púbis",Não,Não,Não,N/A,Trata problemas urogenitais
EX-UE97,Qi Xue,"Na região inguinal, 3 cun lateral ao púbis",Não,Não,Não,N/A,Trata problemas urogenitais
EX-UE98,Si Man,"Na região inguinal, 2 cun lateral ao púbis",Não,Não,Não,N/A,Trata problemas urogenitais
EX-UE99,Zhong Zhu,"Na região inguinal, 1 cun lateral ao púbis",Não,Não,Não,N/A,Trata problemas urogenitais
EX-UE100,Huang Shu,"Na região abdominal, 0,5 cun lateral ao umbigo",Não,Não,Não,N/A,Trata problemas abdominais
EX-UE101,Shang Qu,"Na região abdominal, 1 cun acima do umbigo",Não,Não,Não,N/A,Trata problemas abdominais
EX-UE102,Shi Guan,"Na região abdominal, 2 cun acima do umbigo",Não,Não,Não,N/A,Trata problemas abdominais
EX-UE103,Yin Du,"Na região abdominal, 3 cun acima do umbigo",Não,Não,Não,N/A,Trata problemas abdominais
EX-UE104,Fu Tong Gu,"Na região abdominal, 4 cun acima do umbigo",Não,Não,Não,N/A,Trata problemas abdominais
EX-UE105,You Men,"Na região abdominal, 5 cun acima do umbigo",Não,Não,Não,N/A,Trata problemas abdominais
EX-UE106,Bu Lang,"Na região abdominal, 6 cun acima do umbigo",Não,Não,Não,N/A,Trata problemas abdominais
EX-UE107,Shen Feng,"Na região abdominal, 7 cun acima do umbigo",Não,Não,Não,N/A,Trata problemas abdominais
EX-UE108,Ling Xu,"Na região abdominal, 8 cun acima do umbigo",Não,Não,Não,N/A,Trata problemas abdominais
EX-UE109,Shen Cang,"Na região abdominal, 9 cun acima do umbigo",Não,Não,Não,N/A,Trata problemas abdominais
EX-UE110,Yu Zhong,"Na região abdominal, 10 cun acima do umbigo",Não,Não,Não,N/A,Trata problemas abdominais
EX-UE111,Shu Fu,"Na região abdominal, 11 cun acima do umbigo",Não,Não,Não,N/A,Trata problemas abdominais
E36,Zu San Li,Face lateral da perna,Yang Ming,Estômago,Chong Mai,Tonifica,Ponto Mar e Terra
