Síndrome,Etiopatogenia,Sugestão de Pontos de Acupuntura
"Síndrome de Deficiência de Qi do Baço","Alimentação irregular, estresse, preocupação excessiva, má digestão","Zusanli (E36), Sanyinjiao (BP6), Pishu (BL20), Weishu (BL21)"
"Síndrome de Estagnação de Qi do Fígado","Estresse crônico, emoções reprimidas, raiva, frustração","Taichong (F3), Qimen (F14), Ganshu (BL18), Zhangmen (F13)"
"Síndrome de Deficiência de Yin do Rim","Envelhecimento, estresse prolongado, excesso sexual, insônia","Taixi (R3), Shenmen (R7), Guanyuan (VC4), Mingmen (DU4)"
"Síndrome de Calor no Pulmão","Infecções respiratórias, tabagismo, poluição, estresse","Feishu (BL13), Lieque (P7), Tiantu (CV22), Chize (P7)"
"Síndrome de Umidade-Calor no Intestino","Alimentação inadequada, consumo de alimentos gordurosos","Tianshu (E25), Shangjuxu (E37), Xiajuxu (E39), Zusanli (E36)"
"Síndrome de Deficiência de Yang do Rim","Exposição ao frio, sedentarismo, fadiga crônica","Mingmen (DU4), Shenque (VC8), Qihai (VC6), Yongquan (R1)"
"Síndrome de Vento-Frio Externo","Exposição a correntes de ar, mudanças bruscas de temperatura","Dazhui (DU14), Fengchi (VB20), Hegu (IG4), Lieque (P7)"
"Síndrome de Deficiência de Sangue do Coração","Estresse emocional, insônia, fadiga mental","Shenmen (C7), Xingshu (BL15), Neiguan (PC6), Xinshu (BL15)"
"Síndrome de Estase de Sangue","Trauma, cirurgias, dores crônicas, estagnação energética","Xuehai (BP10), Geshu (BL17), Ciliao (BL32), Dadu (BP2)"
"Síndrome de Deficiência de Yin do Fígado","Estresse prolongado, insônia, irritabilidade","Ganshu (BL18), Taichong (F3), Taixi (R3), Yinlingquan (BP9)"
"Síndrome de Excesso de Umidade-Fleuma","Dieta rica em alimentos gordurosos e açucarados, sedentarismo","Fenglong (E40), Zhongwan (VC12), Pishu (BL20), Yinlingquan (BP9)"
"Síndrome de Deficiência de Qi do Pulmão","Doenças respiratórias crônicas, tabagismo, alergias","Feishu (BL13), Tiantu (CV22), Zusanli (E36), Lieque (P7)"
"Síndrome de Calor no Estômago","Alimentação irregular, estresse, consumo de alimentos picantes","Zusanli (E36), Neiting (E44), Liangmen (E21), Zhongwan (VC12)"
"Síndrome de Deficiência de Yang do Baço","Dieta fria, alimentos crus, digestão fraca","Pishu (BL20), Weishu (BL21), Zusanli (E36), Sanyinjiao (BP6)"
"Síndrome de Vento-Calor Externo","Infecções virais, exposição solar, mudanças climáticas","Dazhui (DU14), Fengchi (VB20), Hegu (IG4), Quchi (IG11)"
"Síndrome de Deficiência de Yin do Pulmão","Tosse crônica, fadiga, sudorese noturna","Chize (P7), Feishu (BL13), Tiantu (CV22), Taixi (R3)"
"Síndrome de Qi Reverso","Estresse emocional intenso, ansiedade, depressão","Neiguan (PC6), Shenmen (C7), Baihui (DU20), Yintang (EX)"
"Síndrome de Estagnação de Qi do Intestino","Constipação, distúrbios digestivos, estresse","Tianshu (E25), Zusanli (E36), Shangjuxu (E37), Qihai (VC6)"
"Síndrome de Calor no Coração","Insônia, irritabilidade, ansiedade","Shenmen (C7), Xinshu (BL15), Neiguan (PC6), Baihui (DU20)"
"Síndrome de Deficiência de Qi do Coração","Fadiga crônica, palpitações, ansiedade","Xinshu (BL15), Shenmen (C7), Tanzhong (CV17), Neiguan (PC6)"
"Síndrome de Umidade-Calor na Bexiga","Infecções urinárias, problemas de eliminação","Guanyuan (VC4), Sanyinjiao (BP6), Zhongji (CV3), Taixi (R3)"
"Síndrome de Vento-Umidade Interno","Artrites, reumatismo, dores articulares","Weizhong (BL40), Zusanli (E36), Yinlingquan (BP9), Hegu (IG4)"
"Síndrome de Deficiência de Essência do Rim","Problemas de fertilidade, envelhecimento precoce","Mingmen (DU4), Guanyuan (VC4), Taixi (R3), Shenque (VC8)"
"Síndrome de Calor no Fígado","Irritabilidade, enxaqueca, hipertensão","Taichong (F3), Ganshu (BL18), Xingjian (F2), Qimen (F14)"
"Síndrome de Deficiência de Qi do Baço-Estômago","Inapetência, fadiga, má digestão","Pishu (BL20), Weishu (BL21), Zusanli (E36), Sanyinjiao (BP6)"
"Síndrome de Deficiência de Yin do Baço","Alimentação irregular, estresse prolongado, desnutrição","Pishu (BL20), Guanyuan (VC4), Sanyinjiao (BP6), Zusanli (E36)"
"Síndrome de Vento-Interno","Espasmos musculares, tremores, doenças neurológicas","Fengchi (VB20), Dazhui (DU14), Hegu (IG4), Baihui (DU20)"
"Síndrome de Calor no Intestino Delgado","Inflamações intestinais, diarreia, disúria","Tianshu (E25), Guanyuan (VC4), Zhongji (CV3), Zusanli (E36)"
"Síndrome de Deficiência de Yang do Coração","Circulação deficiente, sensação de frio, depressão","Xinshu (BL15), Neiguan (PC6), Shenmen (C7), Tanzhong (CV17)"
"Síndrome de Estagnação de Qi do Intestino Grosso","Constipação crônica, distensão abdominal","Tianshu (E25), Shangjuxu (E37), Zusanli (E36), Qihai (VC6)"
"Síndrome de Umidade-Frio nos Meridianos","Dores articulares, reumatismo, sensibilidade ao frio","Weizhong (BL40), Yinlingquan (BP9), Zusanli (E36), Hegu (IG4)"
"Síndrome de Deficiência de Sangue do Fígado","Problemas de visão, ressecamento, espasmos musculares","Ganshu (BL18), Xuehai (BP10), Taixi (R3), Taichong (F3)"
"Síndrome de Calor no Triplo Aquecedor","Inflamações, problemas metabólicos, irritação","Waiguan (TR5), Zhigou (TR6), Sanjiaoshu (BL22), Zusanli (E36)"
"Síndrome de Deficiência de Qi do Pericárdio","Ansiedade, palpitações, problemas emocionais","Neiguan (PC6), Tanzhong (CV17), Shenmen (C7), Xingyou (PC6)"
"Síndrome de Vento-Calor nos Meridianos","Erupções cutâneas, coceira, inflamações superficiais","Fengchi (VB20), Quchi (IG11), Hegu (IG4), Dazhui (DU14)"
"Síndrome de Umidade-Calor no Fígado","Hepatite, problemas de pele, irritabilidade","Ganshu (BL18), Xinshu (BL15), Taichong (F3), Yinlingquan (BP9)"
"Síndrome de Deficiência de Yin do Estômago","Sede, boca seca, problemas digestivos","Zusanli (E36), Neiting (E44), Zhongwan (VC12), Sanyinjiao (BP6)"
"Síndrome de Calor na Vesícula Biliar","Irritabilidade, enxaquecas, insônia","Fengchi (VB20), Yanglingquan (VB34), Riyue (VB24), Zhongzhu (TR6)"
"Síndrome de Estagnação de Sangue no Útero","Dismenorreia, irregularidades menstruais","Xuehai (BP10), Guilai (E29), Sanyinjiao (BP6), Geshu (BL17)"
"Síndrome de Deficiência de Yang do Fígado","Depressão, rigidez muscular, problemas circulatórios","Ganshu (BL18), Taichong (F3), Zusanli (E36), Yinlingquan (BP9)"
"Síndrome de Vento-Umidade Externo","Resfriados, dores corporais, rigidez","Fengchi (VB20), Hegu (IG4), Dazhui (DU14), Zusanli (E36)"
"Síndrome de Calor no Intestino Delgado","Problemas digestivos, inflamações intestinais","Tianshu (E25), Zhongji (CV3), Qihai (VC6), Zusanli (E36)"
"Síndrome de Deficiência de Qi do Rim","Fadiga crônica, problemas de memória, baixa imunidade","Mingmen (DU4), Taixi (R3), Shenque (VC8), Zusanli (E36)"
"Síndrome de Umidade-Fleuma no Baço","Obesidade, edema, digestão lenta","Fenglong (E40), Pishu (BL20), Zusanli (E36), Sanyinjiao (BP6)"
"Síndrome de Calor no Intestino Delgado","Infecções intestinais, diarreia","Tianshu (E25), Shangjuxu (E37), Zusanli (E36), Qihai (VC6)"
"Síndrome de Deficiência de Yin do Pericárdio","Distúrbios emocionais, ansiedade, insônia","Tanzhong (CV17), Neiguan (PC6), Shenmen (C7), Xingyou (PC6)"
"Síndrome de Vento-Interno no Fígado","Espasmos musculares, tremores, convulsões","Ganshu (BL18), Taichong (F3), Fengchi (VB20), Hegu (IG4)"
"Síndrome de Calor no Meridiano da Vesícula Biliar","Enxaquecas, irritabilidade, tensão","Fengchi (VB20), Yanglingquan (VB34), Riyue (VB24), Zhongzhu (TR6)"
"Síndrome de Deficiência de Yang do Triplo Aquecedor","Problemas circulatórios, sensação de frio","Waiguan (TR5), Zhigou (TR6), Sanjiaoshu (BL22), Zusanli (E36)"
"Síndrome de Estagnação de Qi no Meridiano do Intestino Grosso","Constipação, flatulência, distensão abdominal","Tianshu (E25), Shangjuxu (E37), Zusanli (E36), Qihai (VC6)"
"Síndrome de Umidade-Frio no Meridiano da Bexiga","Dores lombares, problemas urinários","Weizhong (BL40), Shenshu (BL23), Taixi (R3), Sanyinjiao (BP6)"
"Síndrome de Deficiência de Sangue do Baço","Palidez, fraqueza, problemas de concentração","Pishu (BL20), Guanyuan (VC4), Zusanli (E36), Sanyinjiao (BP6)"
"Síndrome de Calor no Meridiano do Estômago","Gengivite, problemas bucais, halitose","Zusanli (E36), Neiting (E44), Liangmen (E21), Zhongwan (VC12)"
"Síndrome de Vento-Calor no Meridiano do Pulmão","Tosse, irritação na garganta, febre leve","Feishu (BL13), Lieque (P7), Hegu (IG4), Dazhui (DU14)"
"Síndrome de Deficiência de Yin do Intestino Delgado","Problemas digestivos, inflamação intestinal","Tianshu (E25), Zhongji (CV3), Guanyuan (VC4), Zusanli (E36)"
"Síndrome de Estagnação de Sangue no Meridiano do Coração","Dor precordial, palpitações, insônia","Xinshu (BL15), Shenmen (C7), Neiguan (PC6), Tanzhong (CV17)"
"Síndrome de Umidade-Calor no Meridiano do Rim","Infecções urinárias, problemas renais","Taixi (R3), Guanyuan (VC4), Zhongji (CV3), Sanyinjiao (BP6)"
"Síndrome de Deficiência de Qi do Triplo Aquecedor","Problemas metabólicos, fadiga","Waiguan (TR5), Zhigou (TR6), Zusanli (E36), Qihai (VC6)"
"Síndrome de Calor no Meridiano do Pericárdio","Problemas cardiovasculares, ansiedade","Neiguan (PC6), Tanzhong (CV17), Xingyou (PC6), Shenmen (C7)"
"Síndrome de Vento-Umidade no Meridiano do Fígado","Artrite, rigidez muscular, dores articulares","Ganshu (BL18), Taichong (F3), Yanglingquan (VB34), Hegu (IG4)"
"Síndrome de Deficiência de Yang do Intestino Grosso","Problemas digestivos, constipação","Tianshu (E25), Shangjuxu (E37), Zusanli (E36), Qihai (VC6)"
"Síndrome de Estagnação de Qi no Meridiano da Vesícula Biliar","Irritabilidade, enxaquecas, tensão","Fengchi (VB20), Yanglingquan (VB34), Riyue (VB24), Zhongzhu (TR6)"
"Síndrome de Umidade-Fleuma no Meridiano do Estômago","Obesidade, digestão lenta, edema","Fenglong (E40), Zusanli (E36), Pishu (BL20), Sanyinjiao (BP6)"
"Síndrome de Deficiência de Sangue do Pulmão","Palidez, fraqueza respiratória, sudorese","Feishu (BL13), Chize (P7), Zusanli (E36), Taixi (R3)"
"Síndrome de Calor no Meridiano do Rim","Problemas urinários, sede, irritabilidade","Taixi (R3), Guanyuan (VC4), Zhongji (CV3), Sanyinjiao (BP6)"
"Síndrome de Deficiência de Yin do Meridiano do Coração","Insônia, palpitações, ansiedade, sudorese noturna","Shenmen (C7), Xinshu (BL15), Tanzhong (CV17), Taixi (R3)"
"Síndrome de Vento-Frio Interno","Tremores, rigidez muscular, problemas neurológicos","Dazhui (DU14), Fengchi (VB20), Baihui (DU20), Hegu (IG4)"
"Síndrome de Calor no Meridiano do Intestino Delgado","Problemas digestivos, inflamação intestinal, dor abdominal","Tianshu (E25), Zhongji (CV3), Qihai (VC6), Zusanli (E36)"
"Síndrome de Deficiência de Yang do Meridiano do Pulmão","Respiração fraca, sensibilidade ao frio, fadiga","Feishu (BL13), Zusanli (E36), Pishu (BL20), Taixi (R3)"
"Síndrome de Estagnação de Sangue no Meridiano do Fígado","Dor abdominal, irregularidades menstruais, depressão","Ganshu (BL18), Xuehai (BP10), Taichong (F3), Geshu (BL17)"
"Síndrome de Umidade-Frio no Meridiano do Estômago","Problemas digestivos, sensação de peso, distensão","Zusanli (E36), Pishu (BL20), Fenglong (E40), Sanyinjiao (BP6)"
"Síndrome de Deficiência de Qi do Meridiano do Pericárdio","Problemas cardiovasculares, ansiedade, fraqueza","Neiguan (PC6), Tanzhong (CV17), Xingyou (PC6), Zusanli (E36)"
"Síndrome de Calor no Meridiano do Triplo Aquecedor","Inflamações, problemas metabólicos, irritação","Waiguan (TR5), Zhigou (TR6), Sanjiaoshu (BL22), Hegu (IG4)"
"Síndrome de Vento-Calor no Meridiano da Vesícula Biliar","Enxaquecas, irritabilidade, tensão muscular","Fengchi (VB20), Yanglingquan (VB34), Riyue (VB24), Quchi (IG11)"
"Síndrome de Deficiência de Yin do Meridiano do Estômago","Sede, boca seca, problemas digestivos","Zusanli (E36), Neiting (E44), Zhongwan (VC12), Taixi (R3)"
"Síndrome de Estagnação de Qi no Meridiano do Rim","Problemas urinários, baixa energia, depressão","Taixi (R3), Mingmen (DU4), Guanyuan (VC4), Zusanli (E36)"
"Síndrome de Umidade-Calor no Meridiano do Pulmão","Tosse com catarro, problemas respiratórios","Feishu (BL13), Chize (P7), Lieque (P7), Zusanli (E36)"
"Síndrome de Deficiência de Sangue do Meridiano do Rim","Problemas de fertilidade, fraqueza, tontura","Mingmen (DU4), Taixi (R3), Shenque (VC8), Guanyuan (VC4)"
"Síndrome de Calor no Meridiano do Fígado","Irritabilidade, enxaquecas, hipertensão","Taichong (F3), Ganshu (BL18), Xingjian (F2), Qimen (F14)"
"Síndrome de Vento-Umidade no Meridiano do Coração","Dores articulares, problemas circulatórios","Xinshu (BL15), Shenmen (C7), Neiguan (PC6), Hegu (IG4)"
"Síndrome de Deficiência de Yang do Meridiano do Fígado","Depressão, rigidez muscular, problemas circulatórios","Ganshu (BL18), Taichong (F3), Zusanli (E36), Yinlingquan (BP9)"
"Síndrome de Estagnação de Sangue no Meridiano do Pulmão","Dor torácica, tosse, problemas respiratórios","Feishu (BL13), Chize (P7), Xuehai (BP10), Geshu (BL17)"
"Síndrome de Umidade-Fleuma no Meridiano do Rim","Edema, problemas metabólicos, obesidade","Taixi (R3), Fenglong (E40), Zusanli (E36), Sanyinjiao (BP6)"
"Síndrome de Deficiência de Qi do Meridiano do Estômago","Inapetência, fadiga, má digestão","Pishu (BL20), Weishu (BL21), Zusanli (E36), Sanyinjiao (BP6)"
"Síndrome de Calor no Meridiano do Pulmão","Inflamações respiratórias, febre, sede","Feishu (BL13), Lieque (P7), Tiantu (CV22), Chize (P7)"
"Síndrome de Deficiência de Yin do Meridiano do Triplo Aquecedor","Problemas hormonais, fadiga crônica, irregularidades metabólicas","Waiguan (TR5), Zhigou (TR6), Sanjiaoshu (BL22), Taixi (R3)"
"Síndrome de Vento-Interno no Meridiano do Pericárdio","Distúrbios emocionais, espasmos, problemas cardiovasculares","Neiguan (PC6), Tanzhong (CV17), Xingyou (PC6), Fengchi (VB20)"
"Síndrome de Calor no Meridiano da Bexiga","Problemas urinários, inflamações, dor lombar","Shenshu (BL23), Pangguangshu (BL28), Taixi (R3), Sanyinjiao (BP6)"
"Síndrome de Deficiência de Yang do Meridiano do Pericárdio","Problemas circulatórios, depressão, sensação de frio","Neiguan (PC6), Tanzhong (CV17), Zusanli (E36), Mingmen (DU4)"
"Síndrome de Estagnação de Qi no Meridiano do Triplo Aquecedor","Problemas metabólicos, inchaço, tensão","Waiguan (TR5), Zhigou (TR6), Zusanli (E36), Qihai (VC6)"
"Síndrome de Umidade-Frio no Meridiano do Pericárdio","Problemas circulatórios, sensação de peso, depressão","Neiguan (PC6), Tanzhong (CV17), Zusanli (E36), Sanyinjiao (BP6)"
"Síndrome de Deficiência de Sangue do Meridiano do Triplo Aquecedor","Fadiga, fraqueza muscular, problemas hormonais","Waiguan (TR5), Zhigou (TR6), Zusanli (E36), Guanyuan (VC4)"
"Síndrome de Calor no Meridiano do Intestino Grosso","Problemas digestivos, inflamação intestinal, constipação","Tianshu (E25), Shangjuxu (E37), Zusanli (E36), Qihai (VC6)"
"Síndrome de Vento-Calor no Meridiano do Rim","Problemas urinários, irritação, inflamação","Taixi (R3), Guanyuan (VC4), Zhongji (CV3), Fengchi (VB20)"
