Síndrome,Etiopatogenia,Sugestão de Pontos de Acupuntura
"Síndrome de Deficiência de Yin do Meridiano da Vesícula Biliar","Irritabilidade, enxaquecas, problemas de visão","Fengchi (VB20), Yanglingquan (VB34), Riyue (VB24), Taixi (R3)"
"Síndrome de Estagnação de Sangue no Meridiano do Triplo Aquecedor","Dores, problemas circulatórios, inchaço","Waiguan (TR5), Zhigou (TR6), Xuehai (BP10), Geshu (BL17)"
"Síndrome de Umidade-Calor no Meridiano do Intestino Delgado","Problemas digestivos, diarreia, inflamação","Tianshu (E25), Zhongji (CV3), Zusanli (E36), Sanyinjiao (BP6)"
"Síndrome de Deficiência de Qi do Meridiano do Triplo Aquecedor","Problemas metabólicos, fadiga, fraqueza","Waiguan (TR5), Zhigou (TR6), Zusanli (E36), Qihai (VC6)"
"Síndrome de Calor no Meridiano da Vesícula Biliar","Enxaquecas, irritabilidade, tensão muscular","Fengchi (VB20), Yanglingquan (VB34), Riyue (VB24), Quchi (IG11)"
"Síndrome de Vento-Umidade no Meridiano do Triplo Aquecedor","Dores articulares, problemas circulatórios","Waiguan (TR5), Zhigou (TR6), Hegu (IG4), Zusanli (E36)"
"Síndrome de Deficiência de Yang do Meridiano do Intestino Delgado","Problemas digestivos, sensibilidade ao frio","Tianshu (E25), Zhongji (CV3), Zusanli (E36), Mingmen (DU4)"
"Síndrome de Estagnação de Qi no Meridiano da Bexiga","Problemas urinários, dor lombar, retenção","Shenshu (BL23), Pangguangshu (BL28), Zusanli (E36), Qihai (VC6)"
"Síndrome de Umidade-Fleuma no Meridiano do Triplo Aquecedor","Problemas metabólicos, edema, obesidade","Waiguan (TR5), Zhigou (TR6), Fenglong (E40), Zusanli (E36)"
"Síndrome de Deficiência de Sangue do Meridiano da Vesícula Biliar","Problemas de visão, tontura, irritabilidade","Fengchi (VB20), Yanglingquan (VB34), Xuehai (BP10), Taixi (R3)"
"Síndrome de Calor no Meridiano do Rim","Problemas urinários, sede, irritabilidade","Taixi (R3), Guanyuan (VC4), Zhongji (CV3), Chize (P7)"
"Síndrome de Deficiência de Yin do Meridiano do Intestino Grosso","Problemas digestivos, ressecamento intestinal, constipação","Tianshu (E25), Shangjuxu (E37), Guanyuan (VC4), Taixi (R3)"
"Síndrome de Vento-Interno no Meridiano da Vesícula Biliar","Espasmos musculares, enxaquecas, rigidez","Fengchi (VB20), Yanglingquan (VB34), Hegu (IG4), Baihui (DU20)"
"Síndrome de Calor no Meridiano do Pericárdio","Problemas cardiovasculares, inflamação, agitação","Neiguan (PC6), Tanzhong (CV17), Xingyou (PC6), Chize (P7)"
"Síndrome de Deficiência de Yang do Meridiano da Bexiga","Problemas urinários, sensibilidade ao frio, edema","Shenshu (BL23), Pangguangshu (BL28), Zusanli (E36), Mingmen (DU4)"
"Síndrome de Estagnação de Sangue no Meridiano do Intestino Delgado","Dores abdominais, problemas digestivos, irregularidades","Tianshu (E25), Zhongji (CV3), Xuehai (BP10), Geshu (BL17)"
"Síndrome de Umidade-Frio no Meridiano do Fígado","Problemas articulares, rigidez, dores musculares","Ganshu (BL18), Taichong (F3), Zusanli (E36), Sanyinjiao (BP6)"
"Síndrome de Deficiência de Qi do Meridiano da Vesícula Biliar","Problemas de visão, fadiga, irritabilidade","Fengchi (VB20), Yanglingquan (VB34), Zusanli (E36), Qihai (VC6)"
"Síndrome de Calor no Meridiano do Triplo Aquecedor","Inflamações, problemas hormonais, irritação","Waiguan (TR5), Zhigou (TR6), Sanjiaoshu (BL22), Quchi (IG11)"
"Síndrome de Vento-Calor no Meridiano do Intestino Grosso","Inflamação intestinal, febre, problemas digestivos","Tianshu (E25), Shangjuxu (E37), Hegu (IG4), Fengchi (VB20)"
"Síndrome de Deficiência de Yin do Meridiano do Rim","Problemas de fertilidade, fadiga, sudorese noturna","Taixi (R3), Shenmen (R7), Guanyuan (VC4), Mingmen (DU4)"
"Síndrome de Estagnação de Qi no Meridiano do Pericárdio","Problemas cardiovasculares, ansiedade, tensão","Neiguan (PC6), Tanzhong (CV17), Zusanli (E36), Qihai (VC6)"
"Síndrome de Umidade-Calor no Meridiano do Triplo Aquecedor","Problemas metabólicos, inflamações, edema","Waiguan (TR5), Zhigou (TR6), Zusanli (E36), Sanyinjiao (BP6)"
"Síndrome de Deficiência de Sangue do Meridiano do Pericárdio","Problemas circulatórios, fraqueza, depressão","Neiguan (PC6), Tanzhong (CV17), Xuehai (BP10), Guanyuan (VC4)"
"Síndrome de Calor no Meridiano do Rim","Problemas urinários, irritação, sede","Taixi (R3), Guanyuan (VC4), Zhongji (CV3), Quchi (IG11)"
"Síndrome de Vento-Umidade no Meridiano do Pericárdio","Dores, problemas circulatórios, rigidez","Neiguan (PC6), Tanzhong (CV17), Hegu (IG4), Zusanli (E36)"
"Síndrome de Deficiência de Yang do Meridiano do Coração","Problemas cardiovasculares, sensação de frio, depressão","Xinshu (BL15), Shenmen (C7), Neiguan (PC6), Mingmen (DU4)"
"Síndrome de Estagnação de Qi no Meridiano da Vesícula Biliar","Enxaquecas, irritabilidade, tensão muscular","Fengchi (VB20), Yanglingquan (VB34), Zusanli (E36), Qihai (VC6)"
"Síndrome de Umidade-Fleuma no Meridiano do Pericárdio","Problemas circulatórios, edema, obesidade","Neiguan (PC6), Tanzhong (CV17), Fenglong (E40), Zusanli (E36)"
"Síndrome de Deficiência de Qi do Meridiano do Intestino Grosso","Problemas digestivos, fraqueza, constipação","Tianshu (E25), Shangjuxu (E37), Zusanli (E36), Qihai (VC6)"
"Síndrome de Calor no Meridiano do Fígado","Irritabilidade, enxaquecas, hipertensão","Taichong (F3), Ganshu (BL18), Xingjian (F2), Quchi (IG11)"
"Síndrome de Deficiência de Yin do Meridiano do Coração","Insônia, palpitações, ansiedade, sudorese noturna","Shenmen (C7), Xinshu (BL15), Tanzhong (CV17), Taixi (R3)"
"Síndrome de Vento-Interno no Meridiano do Estômago","Espasmos musculares, problemas digestivos, tremores","Zusanli (E36), Neiting (E44), Fengchi (VB20), Hegu (IG4)"
"Síndrome de Calor no Meridiano do Pulmão","Tosse, inflamação respiratória, febre leve","Feishu (BL13), Lieque (P7), Tiantu (CV22), Chize (P7)"
"Síndrome de Deficiência de Yang do Meridiano do Rim","Problemas de fertilidade, sensibilidade ao frio, fadiga","Taixi (R3), Mingmen (DU4), Guanyuan (VC4), Zusanli (E36)"
"Síndrome de Estagnação de Sangue no Meridiano do Intestino Grosso","Constipação, dores abdominais, problemas circulatórios","Tianshu (E25), Shangjuxu (E37), Xuehai (BP10), Geshu (BL17)"
"Síndrome de Umidade-Frio no Meridiano do Coração","Dores precordiais, problemas circulatórios, sensação de peso","Xinshu (BL15), Shenmen (C7), Zusanli (E36), Sanyinjiao (BP6)"
"Síndrome de Deficiência de Qi do Meridiano do Pulmão","Problemas respiratórios, fadiga, sudorese","Feishu (BL13), Zusanli (E36), Pishu (BL20), Taixi (R3)"
"Síndrome de Calor no Meridiano do Fígado","Irritabilidade, enxaquecas, hipertensão","Taichong (F3), Ganshu (BL18), Xingjian (F2), Qimen (F14)"
"Síndrome de Vento-Calor no Meridiano da Bexiga","Problemas urinários, inflamação, dor lombar","Shenshu (BL23), Pangguangshu (BL28), Hegu (IG4), Fengchi (VB20)"
"Síndrome de Deficiência de Yin do Meridiano do Pulmão","Tosse crônica, sudorese noturna, fraqueza respiratória","Feishu (BL13), Chize (P7), Taixi (R3), Guanyuan (VC4)"
"Síndrome de Estagnação de Qi no Meridiano do Rim","Problemas urinários, baixa energia, depressão","Taixi (R3), Mingmen (DU4), Guanyuan (VC4), Zusanli (E36)"
"Síndrome de Umidade-Calor no Meridiano do Pericárdio","Problemas cardiovasculares, inflamação, irritação","Neiguan (PC6), Tanzhong (CV17), Zusanli (E36), Sanyinjiao (BP6)"
"Síndrome de Deficiência de Sangue do Meridiano do Fígado","Problemas de visão, espasmos musculares, tontura","Ganshu (BL18), Xuehai (BP10), Taixi (R3), Taichong (F3)"
"Síndrome de Calor no Meridiano do Intestino Delgado","Problemas digestivos, inflamação intestinal, dor abdominal","Tianshu (E25), Zhongji (CV3), Qihai (VC6), Zusanli (E36)"
"Síndrome de Vento-Umidade no Meridiano do Fígado","Artrite, rigidez muscular, dores articulares","Ganshu (BL18), Taichong (F3), Yanglingquan (VB34), Hegu (IG4)"
"Síndrome de Deficiência de Yang do Meridiano do Fígado","Depressão, rigidez muscular, problemas circulatórios","Ganshu (BL18), Taichong (F3), Zusanli (E36), Yinlingquan (BP9)"
"Síndrome de Estagnação de Sangue no Meridiano do Pulmão","Dor torácica, tosse, problemas respiratórios","Feishu (BL13), Chize (P7), Xuehai (BP10), Geshu (BL17)"
"Síndrome de Umidade-Fleuma no Meridiano do Rim","Edema, problemas metabólicos, obesidade","Taixi (R3), Fenglong (E40), Zusanli (E36), Sanyinjiao (BP6)"
"Síndrome de Deficiência de Qi do Meridiano do Estômago","Inapetência, fadiga, má digestão","Pishu (BL20), Weishu (BL21), Zusanli (E36), Sanyinjiao (BP6)"
"Síndrome de Calor no Meridiano do Coração","Problemas cardiovasculares, irritabilidade, insônia","Shenmen (C7), Xinshu (BL15), Neiguan (PC6), Tiantu (CV22)"
"Síndrome de Deficiência de Yin do Meridiano da Bexiga","Problemas urinários, sensação de calor, irritação","Shenshu (BL23), Pangguangshu (BL28), Taixi (R3), Guanyuan (VC4)"
"Síndrome de Vento-Interno no Meridiano do Rim","Tremores, problemas neurológicos, fraqueza","Taixi (R3), Mingmen (DU4), Fengchi (VB20), Hegu (IG4)"
"Síndrome de Calor no Meridiano do Intestino Grosso","Inflamação intestinal, constipação, febre","Tianshu (E25), Shangjuxu (E37), Zusanli (E36), Quchi (IG11)"
"Síndrome de Deficiência de Yang do Meridiano do Triplo Aquecedor","Problemas metabólicos, sensação de frio, fadiga","Waiguan (TR5), Zhigou (TR6), Zusanli (E36), Mingmen (DU4)"
"Síndrome de Estagnação de Sangue no Meridiano da Vesícula Biliar","Enxaquecas, dores, problemas de visão","Fengchi (VB20), Yanglingquan (VB34), Xuehai (BP10), Geshu (BL17)"
"Síndrome de Umidade-Frio no Meridiano do Pulmão","Tosse, problemas respiratórios, sensibilidade ao frio","Feishu (BL13), Zusanli (E36), Sanyinjiao (BP6), Hegu (IG4)"
"Síndrome de Deficiência de Qi do Meridiano do Coração","Fadiga, palpitações, ansiedade","Xinshu (BL15), Shenmen (C7), Neiguan (PC6), Zusanli (E36)"
"Síndrome de Calor no Meridiano da Vesícula Biliar","Enxaquecas, irritabilidade, tensão muscular","Fengchi (VB20), Yanglingquan (VB34), Riyue (VB24), Quchi (IG11)"
"Síndrome de Vento-Calor no Meridiano do Pericárdio","Problemas cardiovasculares, inflamação, agitação","Neiguan (PC6), Tanzhong (CV17), Hegu (IG4), Fengchi (VB20)"
"Síndrome de Deficiência de Yin do Meridiano do Triplo Aquecedor","Problemas hormonais, fadiga, sudorese","Waiguan (TR5), Zhigou (TR6), Taixi (R3), Guanyuan (VC4)"
"Síndrome de Estagnação de Qi no Meridiano do Intestino Delgado","Problemas digestivos, dor abdominal, flatulência","Tianshu (E25), Zhongji (CV3), Zusanli (E36), Qihai (VC6)"
"Síndrome de Umidade-Calor no Meridiano do Rim","Problemas urinários, inflamação, irritação","Taixi (R3), Guanyuan (VC4), Zhongji (CV3), Sanyinjiao (BP6)"
"Síndrome de Deficiência de Sangue do Meridiano do Coração","Palidez, palpitações, problemas circulatórios","Xinshu (BL15), Shenmen (C7), Xuehai (BP10), Guanyuan (VC4)"
"Síndrome de Calor no Meridiano do Rim","Problemas urinários, sede, irritabilidade","Taixi (R3), Guanyuan (VC4), Zhongji (CV3), Quchi (IG11)"
"Síndrome de Vento-Umidade no Meridiano do Coração","Dores articulares, problemas circulatórios","Xinshu (BL15), Shenmen (C7), Hegu (IG4), Zusanli (E36)"
"Síndrome de Deficiência de Yang do Meridiano do Pericárdio","Problemas circulatórios, depressão, sensação de frio","Neiguan (PC6), Tanzhong (CV17), Zusanli (E36), Mingmen (DU4)"
"Síndrome de Estagnação de Qi no Meridiano do Pulmão","Problemas respiratórios, dor torácica, fadiga","Feishu (BL13), Chize (P7), Zusanli (E36), Qihai (VC6)"
"Síndrome de Umidade-Fleuma no Meridiano do Fígado","Obesidade, problemas digestivos, edema","Ganshu (BL18), Fenglong (E40), Zusanli (E36), Sanyinjiao (BP6)"
"Síndrome de Deficiência de Qi do Meridiano da Bexiga","Problemas urinários, fadiga, fraqueza","Shenshu (BL23), Pangguangshu (BL28), Zusanli (E36), Qihai (VC6)"
"Síndrome de Calor no Meridiano do Pericárdio","Problemas cardiovasculares, agitação, inflamação","Neiguan (PC6), Tanzhong (CV17), Xingyou (PC6), Chize (P7)"
"Síndrome de Deficiência de Yin do Meridiano do Intestino Delgado","Problemas digestivos, ressecamento intestinal, desconforto","Tianshu (E25), Zhongji (CV3), Guanyuan (VC4), Taixi (R3)"
"Síndrome de Vento-Interno no Meridiano do Pulmão","Tosse persistente, problemas respiratórios, espasmos","Feishu (BL13), Lieque (P7), Fengchi (VB20), Hegu (IG4)"
"Síndrome de Calor no Meridiano do Triplo Aquecedor","Problemas hormonais, inflamações, irritação","Waiguan (TR5), Zhigou (TR6), Sanjiaoshu (BL22), Quchi (IG11)"
"Síndrome de Deficiência de Yang do Meridiano do Coração","Problemas circulatórios, depressão, sensação de frio","Xinshu (BL15), Shenmen (C7), Neiguan (PC6), Mingmen (DU4)"
"Síndrome de Estagnação de Sangue no Meridiano do Rim","Problemas de fertilidade, dores, irregularidades","Taixi (R3), Mingmen (DU4), Xuehai (BP10), Geshu (BL17)"
"Síndrome de Umidade-Frio no Meridiano do Intestino Delgado","Problemas digestivos, sensação de peso, desconforto","Tianshu (E25), Zhongji (CV3), Zusanli (E36), Sanyinjiao (BP6)"
"Síndrome de Deficiência de Qi do Meridiano da Vesícula Biliar","Problemas de visão, fadiga, irritabilidade","Fengchi (VB20), Yanglingquan (VB34), Zusanli (E36), Qihai (VC6)"
"Síndrome de Calor no Meridiano do Estômago","Problemas digestivos, inflamação, gengivite","Zusanli (E36), Neiting (E44), Liangmen (E21), Zhongwan (VC12)"
"Síndrome de Vento-Calor no Meridiano do Rim","Problemas urinários, irritação, inflamação","Taixi (R3), Guanyuan (VC4), Zhongji (CV3), Fengchi (VB20)"
"Síndrome de Deficiência de Yin do Meridiano do Fígado","Irritabilidade, visão turva, espasmos musculares","Ganshu (BL18), Taichong (F3), Taixi (R3), Guanyuan (VC4)"
"Síndrome de Estagnação de Qi no Meridiano do Coração","Problemas cardiovasculares, ansiedade, tensão","Xinshu (BL15), Shenmen (C7), Neiguan (PC6), Zusanli (E36)"
"Síndrome de Umidade-Calor no Meridiano do Intestino Grosso","Problemas digestivos, inflamação intestinal, constipação","Tianshu (E25), Shangjuxu (E37), Zusanli (E36), Sanyinjiao (BP6)"
"Síndrome de Deficiência de Sangue do Meridiano do Pulmão","Palidez, fraqueza respiratória, sudorese","Feishu (BL13), Chize (P7), Zusanli (E36), Taixi (R3)"
"Síndrome de Calor no Meridiano do Pulmão","Tosse, inflamação respiratória, sede","Feishu (BL13), Lieque (P7), Tiantu (CV22), Chize (P7)"
"Síndrome de Vento-Umidade no Meridiano do Rim","Dores articulares, problemas urinários, rigidez","Taixi (R3), Shenshu (BL23), Hegu (IG4), Zusanli (E36)"
"Síndrome de Deficiência de Yang do Meridiano do Fígado","Depressão, rigidez muscular, problemas circulatórios","Ganshu (BL18), Taichong (F3), Zusanli (E36), Yinlingquan (BP9)"
"Síndrome de Estagnação de Sangue no Meridiano do Fígado","Dores abdominais, irregularidades menstruais, depressão","Ganshu (BL18), Xuehai (BP10), Taichong (F3), Geshu (BL17)"
"Síndrome de Umidade-Fleuma no Meridiano do Pulmão","Problemas respiratórios, catarro, obesidade","Feishu (BL13), Fenglong (E40), Zusanli (E36), Sanyinjiao (BP6)"
"Síndrome de Deficiência de Qi do Meridiano do Rim","Fadiga crônica, problemas de memória, baixa imunidade","Mingmen (DU4), Taixi (R3), Shenque (VC8), Zusanli (E36)"
"Síndrome de Calor no Meridiano do Fígado","Irritabilidade, enxaquecas, hipertensão","Taichong (F3), Ganshu (BL18), Xingjian (F2), Quchi (IG11)"

