CID-10,Doença,Pontos Principais,Detalhes dos Pontos
"M54.5","Dor Lombar Crônica","Shenshu (BL23), Mingmen (DU4), Yaoyangguan (DU3), Weizhong (BL40)","Shenshu: Ponto Shu do Rim, localizado 1.5 cun lateral à linha média na altura da 2ª vértebra lombar. Mingmen: Ponto de fogo do Vaso Governador, localizado na linha média entre as vértebras L2-L3. Yaoyangguan: Ponto de fogo do Vaso Governador, localizado na linha média entre as vértebras L3-L4. Weizhong: Ponto He do meridiano da Bexiga, localizado no centro da prega poplítea."
"G43.9","Enxaqueca","Fengchi (GB20), Taiyang (EX-HN5), Hegu (LI4), Baihui (DU20)","Fengchi: Ponto de fogo do meridiano da Vesícula Biliar, localizado na depressão entre os músculos esternocleidomastóideo e trapézio. Taiyang: Ponto extra-cabeça, localizado na depressão temporal. Hegu: Ponto Yuan do meridiano do Intestino Grosso, localizado no dorso da mão entre o 1º e 2º metacarpos. Baihui: Ponto de intersecção dos meridianos Yang, localizado no topo da cabeça."
"M17.9","Osteoartrite do Joelho","Xiyan (EX-LE5), Dubi (ST35), Yanglingquan (GB34), Zusanli (ST36)","Xiyan: Ponto extra-perna, localizado na depressão lateral do ligamento patelar. Dubi: Ponto de fogo do meridiano do Estômago, localizado na depressão lateral do ligamento patelar. Yanglingquan: Ponto He do meridiano da Vesícula Biliar, localizado na depressão anterior e inferior da cabeça da fíbula. Zusanli: Ponto He do meridiano do Estômago, localizado 3 cun abaixo do olho do joelho."
"F41.9","Ansiedade","Shenmen (HT7), Neiguan (PC6), Baihui (DU20), Yintang (EX-HN3)","Shenmen: Ponto Shu e Yuan do meridiano do Coração, localizado na prega transversa do punho radial. Neiguan: Ponto Luo do meridiano do Pericárdio, localizado 2 cun acima da prega transversa do punho entre os tendões. Baihui: Ponto de intersecção dos meridianos Yang, localizado no topo da cabeça. Yintang: Ponto extra-cabeça, localizado entre as sobrancelhas."
"F51.0","Insônia","Shenmen (HT7), Neiguan (PC6), Baihui (DU20), Yintang (EX-HN3)","Shenmen: Ponto Shu e Yuan do meridiano do Coração, localizado na prega transversa do punho radial. Neiguan: Ponto Luo do meridiano do Pericárdio, localizado 2 cun acima da prega transversa do punho entre os tendões. Baihui: Ponto de intersecção dos meridianos Yang, localizado no topo da cabeça. Yintang: Ponto extra-cabeça, localizado entre as sobrancelhas."
"F32.9","Depressão","Baihui (DU20), Yintang (EX-HN3), Shenmen (HT7), Sanyinjiao (SP6)","Baihui: Ponto de intersecção dos meridianos Yang, localizado no topo da cabeça. Yintang: Ponto extra-cabeça, localizado entre as sobrancelhas. Shenmen: Ponto Shu e Yuan do meridiano do Coração, localizado na prega transversa do punho radial. Sanyinjiao: Ponto de intersecção dos meridianos Yin da perna, localizado 3 cun acima do maléolo medial."
"J45.9","Asma","Feishu (BL13), Tiantu (CV22), Dingchuan (EX-B1), Zusanli (ST36)","Feishu: Ponto Shu do Pulmão, localizado 1.5 cun lateral à linha média na altura da 3ª vértebra torácica. Tiantu: Ponto de intersecção dos meridianos Yin, localizado na depressão central da fúrcula esternal. Dingchuan: Ponto extra-costas, localizado 0.5 cun lateral à linha média na altura da 7ª vértebra cervical. Zusanli: Ponto He do meridiano do Estômago, localizado 3 cun abaixo do olho do joelho."
"K29.7","Gastrite","Zhongwan (CV12), Zusanli (ST36), Neiguan (PC6), Pishu (BL20)","Zhongwan: Ponto Mu do Estômago, localizado na linha média 4 cun acima do umbigo. Zusanli: Ponto He do meridiano do Estômago, localizado 3 cun abaixo do olho do joelho. Neiguan: Ponto Luo do meridiano do Pericárdio, localizado 2 cun acima da prega transversa do punho entre os tendões. Pishu: Ponto Shu do Baço, localizado 1.5 cun lateral à linha média na altura da 11ª vértebra torácica."
"E11.9","Diabetes Tipo 2","Sanyinjiao (SP6), Zusanli (ST36), Pishu (BL20), Shenshu (BL23)","Sanyinjiao: Ponto de intersecção dos meridianos Yin da perna, localizado 3 cun acima do maléolo medial. Zusanli: Ponto He do meridiano do Estômago, localizado 3 cun abaixo do olho do joelho. Pishu: Ponto Shu do Baço, localizado 1.5 cun lateral à linha média na altura da 11ª vértebra torácica. Shenshu: Ponto Shu do Rim, localizado 1.5 cun lateral à linha média na altura da 2ª vértebra lombar."
"G25.9","Síndrome das Pernas Inquietas","Sanyinjiao (SP6), Zusanli (ST36), Xuehai (SP10), Taixi (KI3)","Sanyinjiao: Ponto de intersecção dos meridianos Yin da perna, localizado 3 cun acima do maléolo medial. Zusanli: Ponto He do meridiano do Estômago, localizado 3 cun abaixo do olho do joelho. Xuehai: Ponto de fogo do meridiano do Baço, localizado 2 cun acima da borda superior da patela. Taixi: Ponto Yuan do meridiano do Rim, localizado entre o maléolo medial e o tendão calcâneo."
"R05","Tosse","Tiantu (CV22), Feishu (BL13), Lieque (LU7), Chize (LU5)","Tiantu: Ponto de intersecção dos meridianos Yin, localizado na depressão central da fúrcula esternal. Feishu: Ponto Shu do Pulmão, localizado 1.5 cun lateral à linha média na altura da 3ª vértebra torácica. Lieque: Ponto Luo do meridiano do Pulmão, localizado 1.5 cun acima da prega transversa do punho radial. Chize: Ponto He do meridiano do Pulmão, localizado na prega transversa do cotovelo."
"M79.7","Fibromialgia","Zusanli (ST36), Sanyinjiao (SP6), Hegu (LI4), Taichong (LR3)","Zusanli: Ponto He do meridiano do Estômago, localizado 3 cun abaixo do olho do joelho. Sanyinjiao: Ponto de intersecção dos meridianos Yin da perna, localizado 3 cun acima do maléolo medial. Hegu: Ponto Yuan do meridiano do Intestino Grosso, localizado no dorso da mão entre o 1º e 2º metacarpos. Taichong: Ponto Shu e Yuan do meridiano do Fígado, localizado na depressão entre o 1º e 2º metatarsos."
"F48.0","Síndrome do Pânico","Neiguan (PC6), Shenmen (HT7), Baihui (DU20), Yintang (EX-HN3)","Neiguan: Ponto Luo do meridiano do Pericárdio, localizado 2 cun acima da prega transversa do punho entre os tendões. Shenmen: Ponto Shu e Yuan do meridiano do Coração, localizado na prega transversa do punho radial. Baihui: Ponto de intersecção dos meridianos Yang, localizado no topo da cabeça. Yintang: Ponto extra-cabeça, localizado entre as sobrancelhas."
"K59.0","Constipação","Tianshu (ST25), Zusanli (ST36), Qihai (CV6), Guanyuan (CV4)","Tianshu: Ponto Mu do Intestino Grosso, localizado 2 cun lateral ao umbigo. Zusanli: Ponto He do meridiano do Estômago, localizado 3 cun abaixo do olho do joelho. Qihai: Ponto de fogo do Vaso Concepção, localizado na linha média 1.5 cun abaixo do umbigo. Guanyuan: Ponto de fogo do Vaso Concepção, localizado na linha média 3 cun abaixo do umbigo."
"R10.4","Dismenorreia","Sanyinjiao (SP6), Guilai (ST29), Qihai (CV6), Xuehai (SP10)","Sanyinjiao: Ponto de intersecção dos meridianos Yin da perna, localizado 3 cun acima do maléolo medial. Guilai: Ponto de fogo do meridiano do Estômago, localizado 4 cun abaixo do umbigo e 2 cun lateral à linha média. Qihai: Ponto de fogo do Vaso Concepção, localizado na linha média 1.5 cun abaixo do umbigo. Xuehai: Ponto de fogo do meridiano do Baço, localizado 2 cun acima da borda superior da patela."
"K21.9","Doença do Refluxo Gastroesofágico","Zhongwan (CV12), Zusanli (ST36), Neiguan (PC6), Pishu (BL20)","Zhongwan: Ponto Mu do Estômago, localizado na linha média 4 cun acima do umbigo. Zusanli: Ponto He do meridiano do Estômago, localizado 3 cun abaixo do olho do joelho. Neiguan: Ponto Luo do meridiano do Pericárdio, localizado 2 cun acima da prega transversa do punho entre os tendões. Pishu: Ponto Shu do Baço, localizado 1.5 cun lateral à linha média na altura da 11ª vértebra torácica."
"G43.1","Enxaqueca com Aura","Fengchi (GB20), Taiyang (EX-HN5), Hegu (LI4), Baihui (DU20)","Fengchi: Ponto de fogo do meridiano da Vesícula Biliar, localizado na depressão entre os músculos esternocleidomastóideo e trapézio. Taiyang: Ponto extra-cabeça, localizado na depressão temporal. Hegu: Ponto Yuan do meridiano do Intestino Grosso, localizado no dorso da mão entre o 1º e 2º metacarpos. Baihui: Ponto de intersecção dos meridianos Yang, localizado no topo da cabeça."
"M54.1","Radiculopatia","Jiaji (EX-B2), Huantiao (GB30), Yanglingquan (GB34), Weizhong (BL40)","Jiaji: Pontos extra-costas, localizados 0.5 cun lateral à linha média nas depressões vertebrais. Huantiao: Ponto de fogo do meridiano da Vesícula Biliar, localizado no terço médio da linha entre o trocanter maior e a fenda sacral. Yanglingquan: Ponto He do meridiano da Vesícula Biliar, localizado na depressão anterior e inferior da cabeça da fíbula. Weizhong: Ponto He do meridiano da Bexiga, localizado no centro da prega poplítea."
"F41.1","Transtorno de Ansiedade Generalizada","Shenmen (HT7), Neiguan (PC6), Baihui (DU20), Yintang (EX-HN3)","Shenmen: Ponto Shu e Yuan do meridiano do Coração, localizado na prega transversa do punho radial. Neiguan: Ponto Luo do meridiano do Pericárdio, localizado 2 cun acima da prega transversa do punho entre os tendões. Baihui: Ponto de intersecção dos meridianos Yang, localizado no topo da cabeça. Yintang: Ponto extra-cabeça, localizado entre as sobrancelhas."
"J45.0","Asma Alérgica","Feishu (BL13), Tiantu (CV22), Dingchuan (EX-B1), Zusanli (ST36)","Feishu: Ponto Shu do Pulmão, localizado 1.5 cun lateral à linha média na altura da 3ª vértebra torácica. Tiantu: Ponto de intersecção dos meridianos Yin, localizado na depressão central da fúrcula esternal. Dingchuan: Ponto extra-costas, localizado 0.5 cun lateral à linha média na altura da 7ª vértebra cervical. Zusanli: Ponto He do meridiano do Estômago, localizado 3 cun abaixo do olho do joelho."
"K29.3","Gastrite Crônica","Zhongwan (CV12), Zusanli (ST36), Neiguan (PC6), Pishu (BL20)","Zhongwan: Ponto Mu do Estômago, localizado na linha média 4 cun acima do umbigo. Zusanli: Ponto He do meridiano do Estômago, localizado 3 cun abaixo do olho do joelho. Neiguan: Ponto Luo do meridiano do Pericárdio, localizado 2 cun acima da prega transversa do punho entre os tendões. Pishu: Ponto Shu do Baço, localizado 1.5 cun lateral à linha média na altura da 11ª vértebra torácica."
"E11.2","Diabetes Tipo 2 com Complicações Renais","Sanyinjiao (SP6), Zusanli (ST36), Pishu (BL20), Shenshu (BL23)","Sanyinjiao: Ponto de intersecção dos meridianos Yin da perna, localizado 3 cun acima do maléolo medial. Zusanli: Ponto He do meridiano do Estômago, localizado 3 cun abaixo do olho do joelho. Pishu: Ponto Shu do Baço, localizado 1.5 cun lateral à linha média na altura da 11ª vértebra torácica. Shenshu: Ponto Shu do Rim, localizado 1.5 cun lateral à linha média na altura da 2ª vértebra lombar."
"G25.8","Síndrome das Pernas Inquietas com Insônia","Sanyinjiao (SP6), Zusanli (ST36), Xuehai (SP10), Taixi (KI3)","Sanyinjiao: Ponto de intersecção dos meridianos Yin da perna, localizado 3 cun acima do maléolo medial. Zusanli: Ponto He do meridiano do Estômago, localizado 3 cun abaixo do olho do joelho. Xuehai: Ponto de fogo do meridiano do Baço, localizado 2 cun acima da borda superior da patela. Taixi: Ponto Yuan do meridiano do Rim, localizado entre o maléolo medial e o tendão calcâneo."
"R05","Tosse Crônica","Tiantu (CV22), Feishu (BL13), Lieque (LU7), Chize (LU5)","Tiantu: Ponto de intersecção dos meridianos Yin, localizado na depressão central da fúrcula esternal. Feishu: Ponto Shu do Pulmão, localizado 1.5 cun lateral à linha média na altura da 3ª vértebra torácica. Lieque: Ponto Luo do meridiano do Pulmão, localizado 1.5 cun acima da prega transversa do punho radial. Chize: Ponto He do meridiano do Pulmão, localizado na prega transversa do cotovelo."
"M79.7","Fibromialgia com Fadiga","Zusanli (ST36), Sanyinjiao (SP6), Hegu (LI4), Taichong (LR3)","Zusanli: Ponto He do meridiano do Estômago, localizado 3 cun abaixo do olho do joelho. Sanyinjiao: Ponto de intersecção dos meridianos Yin da perna, localizado 3 cun acima do maléolo medial. Hegu: Ponto Yuan do meridiano do Intestino Grosso, localizado no dorso da mão entre o 1º e 2º metacarpos. Taichong: Ponto Shu e Yuan do meridiano do Fígado, localizado na depressão entre o 1º e 2º metatarsos."
"F48.0","Síndrome do Pânico com Agorafobia","Neiguan (PC6), Shenmen (HT7), Baihui (DU20), Yintang (EX-HN3)","Neiguan: Ponto Luo do meridiano do Pericárdio, localizado 2 cun acima da prega transversa do punho entre os tendões. Shenmen: Ponto Shu e Yuan do meridiano do Coração, localizado na prega transversa do punho radial. Baihui: Ponto de intersecção dos meridianos Yang, localizado no topo da cabeça. Yintang: Ponto extra-cabeça, localizado entre as sobrancelhas."
"K59.0","Constipação Crônica","Tianshu (ST25), Zusanli (ST36), Qihai (CV6), Guanyuan (CV4)","Tianshu: Ponto Mu do Intestino Grosso, localizado 2 cun lateral ao umbigo. Zusanli: Ponto He do meridiano do Estômago, localizado 3 cun abaixo do olho do joelho. Qihai: Ponto de fogo do Vaso Concepção, localizado na linha média 1.5 cun abaixo do umbigo. Guanyuan: Ponto de fogo do Vaso Concepção, localizado na linha média 3 cun abaixo do umbigo."
"R10.4","Dismenorreia com Cefaleia","Sanyinjiao (SP6), Guilai (ST29), Qihai (CV6), Xuehai (SP10)","Sanyinjiao: Ponto de intersecção dos meridianos Yin da perna, localizado 3 cun acima do maléolo medial. Guilai: Ponto de fogo do meridiano do Estômago, localizado 4 cun abaixo do umbigo e 2 cun lateral à linha média. Qihai: Ponto de fogo do Vaso Concepção, localizado na linha média 1.5 cun abaixo do umbigo. Xuehai: Ponto de fogo do meridiano do Baço, localizado 2 cun acima da borda superior da patela."
"K21.9","Doença do Refluxo Gastroesofágico com Esofagite","Zhongwan (CV12), Zusanli (ST36), Neiguan (PC6), Pishu (BL20)","Zhongwan: Ponto Mu do Estômago, localizado na linha média 4 cun acima do umbigo. Zusanli: Ponto He do meridiano do Estômago, localizado 3 cun abaixo do olho do joelho. Neiguan: Ponto Luo do meridiano do Pericárdio, localizado 2 cun acima da prega transversa do punho entre os tendões. Pishu: Ponto Shu do Baço, localizado 1.5 cun lateral à linha média na altura da 11ª vértebra torácica."
"F41.2","Transtorno de Ansiedade Mista","Shenmen (HT7), Neiguan (PC6), Baihui (DU20), Yintang (EX-HN3)","Shenmen: Ponto Shu e Yuan do meridiano do Coração, localizado na prega transversa do punho radial. Neiguan: Ponto Luo do meridiano do Pericárdio, localizado 2 cun acima da prega transversa do punho entre os tendões. Baihui: Ponto de intersecção dos meridianos Yang, localizado no topo da cabeça. Yintang: Ponto extra-cabeça, localizado entre as sobrancelhas."
"F51.1","Insônia com Ansiedade","Shenmen (HT7), Neiguan (PC6), Baihui (DU20), Yintang (EX-HN3)","Shenmen: Ponto Shu e Yuan do meridiano do Coração, localizado na prega transversa do punho radial. Neiguan: Ponto Luo do meridiano do Pericárdio, localizado 2 cun acima da prega transversa do punho entre os tendões. Baihui: Ponto de intersecção dos meridianos Yang, localizado no topo da cabeça. Yintang: Ponto extra-cabeça, localizado entre as sobrancelhas."
"M54.6","Dor na Coluna Torácica","Jiaji (EX-B2), Feishu (BL13), Xinshu (BL15), Ganshu (BL18)","Jiaji: Pontos extra-costas, localizados 0.5 cun lateral à linha média nas depressões vertebrais. Feishu: Ponto Shu do Pulmão, localizado 1.5 cun lateral à linha média na altura da 3ª vértebra torácica. Xinshu: Ponto Shu do Coração, localizado 1.5 cun lateral à linha média na altura da 5ª vértebra torácica. Ganshu: Ponto Shu do Fígado, localizado 1.5 cun lateral à linha média na altura da 9ª vértebra torácica."
"G43.2","Enxaqueca com Aura Típica","Fengchi (GB20), Taiyang (EX-HN5), Hegu (LI4), Baihui (DU20)","Fengchi: Ponto de fogo do meridiano da Vesícula Biliar, localizado na depressão entre os músculos esternocleidomastóideo e trapézio. Taiyang: Ponto extra-cabeça, localizado na depressão temporal. Hegu: Ponto Yuan do meridiano do Intestino Grosso, localizado no dorso da mão entre o 1º e 2º metacarpos. Baihui: Ponto de intersecção dos meridianos Yang, localizado no topo da cabeça."
"M17.0","Osteoartrite Primária do Joelho","Xiyan (EX-LE5), Dubi (ST35), Yanglingquan (GB34), Zusanli (ST36)","Xiyan: Ponto extra-perna, localizado na depressão lateral do ligamento patelar. Dubi: Ponto de fogo do meridiano do Estômago, localizado na depressão lateral do ligamento patelar. Yanglingquan: Ponto He do meridiano da Vesícula Biliar, localizado na depressão anterior e inferior da cabeça da fíbula. Zusanli: Ponto He do meridiano do Estômago, localizado 3 cun abaixo do olho do joelho."
"F41.3","Transtorno de Ansiedade Social","Shenmen (HT7), Neiguan (PC6), Baihui (DU20), Yintang (EX-HN3)","Shenmen: Ponto Shu e Yuan do meridiano do Coração, localizado na prega transversa do punho radial. Neiguan: Ponto Luo do meridiano do Pericárdio, localizado 2 cun acima da prega transversa do punho entre os tendões. Baihui: Ponto de intersecção dos meridianos Yang, localizado no topo da cabeça. Yintang: Ponto extra-cabeça, localizado entre as sobrancelhas."
"F51.2","Insônia com Depressão","Shenmen (HT7), Neiguan (PC6), Baihui (DU20), Yintang (EX-HN3)","Shenmen: Ponto Shu e Yuan do meridiano do Coração, localizado na prega transversa do punho radial. Neiguan: Ponto Luo do meridiano do Pericárdio, localizado 2 cun acima da prega transversa do punho entre os tendões. Baihui: Ponto de intersecção dos meridianos Yang, localizado no topo da cabeça. Yintang: Ponto extra-cabeça, localizado entre as sobrancelhas."
"F32.1","Depressão Maior com Sintomas Melancólicos","Baihui (DU20), Yintang (EX-HN3), Shenmen (HT7), Sanyinjiao (SP6)","Baihui: Ponto de intersecção dos meridianos Yang, localizado no topo da cabeça. Yintang: Ponto extra-cabeça, localizado entre as sobrancelhas. Shenmen: Ponto Shu e Yuan do meridiano do Coração, localizado na prega transversa do punho radial. Sanyinjiao: Ponto de intersecção dos meridianos Yin da perna, localizado 3 cun acima do maléolo medial."
"J45.1","Asma Não-Alérgica","Feishu (BL13), Tiantu (CV22), Dingchuan (EX-B1), Zusanli (ST36)","Feishu: Ponto Shu do Pulmão, localizado 1.5 cun lateral à linha média na altura da 3ª vértebra torácica. Tiantu: Ponto de intersecção dos meridianos Yin, localizado na depressão central da fúrcula esternal. Dingchuan: Ponto extra-costas, localizado 0.5 cun lateral à linha média na altura da 7ª vértebra cervical. Zusanli: Ponto He do meridiano do Estômago, localizado 3 cun abaixo do olho do joelho."
"K29.4","Gastrite Atrófica","Zhongwan (CV12), Zusanli (ST36), Neiguan (PC6), Pishu (BL20)","Zhongwan: Ponto Mu do Estômago, localizado na linha média 4 cun acima do umbigo. Zusanli: Ponto He do meridiano do Estômago, localizado 3 cun abaixo do olho do joelho. Neiguan: Ponto Luo do meridiano do Pericárdio, localizado 2 cun acima da prega transversa do punho entre os tendões. Pishu: Ponto Shu do Baço, localizado 1.5 cun lateral à linha média na altura da 11ª vértebra torácica."
"E11.3","Diabetes Tipo 2 com Complicações Oculares","Sanyinjiao (SP6), Zusanli (ST36), Pishu (BL20), Shenshu (BL23)","Sanyinjiao: Ponto de intersecção dos meridianos Yin da perna, localizado 3 cun acima do maléolo medial. Zusanli: Ponto He do meridiano do Estômago, localizado 3 cun abaixo do olho do joelho. Pishu: Ponto Shu do Baço, localizado 1.5 cun lateral à linha média na altura da 11ª vértebra torácica. Shenshu: Ponto Shu do Rim, localizado 1.5 cun lateral à linha média na altura da 2ª vértebra lombar."
"G25.8","Síndrome das Pernas Inquietas com Depressão","Sanyinjiao (SP6), Zusanli (ST36), Xuehai (SP10), Taixi (KI3)","Sanyinjiao: Ponto de intersecção dos meridianos Yin da perna, localizado 3 cun acima do maléolo medial. Zusanli: Ponto He do meridiano do Estômago, localizado 3 cun abaixo do olho do joelho. Xuehai: Ponto de fogo do meridiano do Baço, localizado 2 cun acima da borda superior da patela. Taixi: Ponto Yuan do meridiano do Rim, localizado entre o maléolo medial e o tendão calcâneo."
"R05","Tosse com Bronquite","Tiantu (CV22), Feishu (BL13), Lieque (LU7), Chize (LU5)","Tiantu: Ponto de intersecção dos meridianos Yin, localizado na depressão central da fúrcula esternal. Feishu: Ponto Shu do Pulmão, localizado 1.5 cun lateral à linha média na altura da 3ª vértebra torácica. Lieque: Ponto Luo do meridiano do Pulmão, localizado 1.5 cun acima da prega transversa do punho radial. Chize: Ponto He do meridiano do Pulmão, localizado na prega transversa do cotovelo."
"M79.7","Fibromialgia com Depressão","Zusanli (ST36), Sanyinjiao (SP6), Hegu (LI4), Taichong (LR3)","Zusanli: Ponto He do meridiano do Estômago, localizado 3 cun abaixo do olho do joelho. Sanyinjiao: Ponto de intersecção dos meridianos Yin da perna, localizado 3 cun acima do maléolo medial. Hegu: Ponto Yuan do meridiano do Intestino Grosso, localizado no dorso da mão entre o 1º e 2º metacarpos. Taichong: Ponto Shu e Yuan do meridiano do Fígado, localizado na depressão entre o 1º e 2º metatarsos."
"F48.0","Síndrome do Pânico com Depressão","Neiguan (PC6), Shenmen (HT7), Baihui (DU20), Yintang (EX-HN3)","Neiguan: Ponto Luo do meridiano do Pericárdio, localizado 2 cun acima da prega transversa do punho entre os tendões. Shenmen: Ponto Shu e Yuan do meridiano do Coração, localizado na prega transversa do punho radial. Baihui: Ponto de intersecção dos meridianos Yang, localizado no topo da cabeça. Yintang: Ponto extra-cabeça, localizado entre as sobrancelhas."
"K59.0","Constipação com Síndrome do Intestino Irritável","Tianshu (ST25), Zusanli (ST36), Qihai (CV6), Guanyuan (CV4)","Tianshu: Ponto Mu do Intestino Grosso, localizado 2 cun lateral ao umbigo. Zusanli: Ponto He do meridiano do Estômago, localizado 3 cun abaixo do olho do joelho. Qihai: Ponto de fogo do Vaso Concepção, localizado na linha média 1.5 cun abaixo do umbigo. Guanyuan: Ponto de fogo do Vaso Concepção, localizado na linha média 3 cun abaixo do umbigo."
"R10.4","Dismenorreia com Endometriose","Sanyinjiao (SP6), Guilai (ST29), Qihai (CV6), Xuehai (SP10)","Sanyinjiao: Ponto de intersecção dos meridianos Yin da perna, localizado 3 cun acima do maléolo medial. Guilai: Ponto de fogo do meridiano do Estômago, localizado 4 cun abaixo do umbigo e 2 cun lateral à linha média. Qihai: Ponto de fogo do Vaso Concepção, localizado na linha média 1.5 cun abaixo do umbigo. Xuehai: Ponto de fogo do meridiano do Baço, localizado 2 cun acima da borda superior da patela."
"K21.9","Doença do Refluxo Gastroesofágico com Hérnia Hiatal","Zhongwan (CV12), Zusanli (ST36), Neiguan (PC6), Pishu (BL20)","Zhongwan: Ponto Mu do Estômago, localizado na linha média 4 cun acima do umbigo. Zusanli: Ponto He do meridiano do Estômago, localizado 3 cun abaixo do olho do joelho. Neiguan: Ponto Luo do meridiano do Pericárdio, localizado 2 cun acima da prega transversa do punho entre os tendões. Pishu: Ponto Shu do Baço, localizado 1.5 cun lateral à linha média na altura da 11ª vértebra torácica."
"F41.2","Transtorno de Ansiedade Mista com Depressão","Shenmen (HT7), Neiguan (PC6), Baihui (DU20), Yintang (EX-HN3)","Shenmen: Ponto Shu e Yuan do meridiano do Coração, localizado na prega transversa do punho radial. Neiguan: Ponto Luo do meridiano do Pericárdio, localizado 2 cun acima da prega transversa do punho entre os tendões. Baihui: Ponto de intersecção dos meridianos Yang, localizado no topo da cabeça. Yintang: Ponto extra-cabeça, localizado entre as sobrancelhas."
"F51.1","Insônia com Ansiedade e Depressão","Shenmen (HT7), Neiguan (PC6), Baihui (DU20), Yintang (EX-HN3)","Shenmen: Ponto Shu e Yuan do meridiano do Coração, localizado na prega transversa do punho radial. Neiguan: Ponto Luo do meridiano do Pericárdio, localizado 2 cun acima da prega transversa do punho entre os tendões. Baihui: Ponto de intersecção dos meridianos Yang, localizado no topo da cabeça. Yintang: Ponto extra-cabeça, localizado entre as sobrancelhas." 